# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
9.872	2.4764596682308e-44	3.9049787819568e-40	3.5088231066512e-12	0.015346705704562	0.021919513030314	3.9901540978133e-11	0.050242359578296	0.12535661833947	0.035785095789718	8.1235244042993e-13	0.021497775281195	1.4161929110312e-08	0.078428500948209	0.0087196204732536	0.53920995006319	0.011418607871058	0.012693106626291	5.3104771426911e-12	2.4816843838457e-10	4.1292480165171e-06	0.90946558321512
10	-1.6379689606871e-43	2.207807367177e-40	1.6159300579606e-12	0.015345385761888	0.021917625134215	2.2913364718539e-11	0.050025188586547	0.12493468166894	0.035782015297417	3.6269120493897e-13	0.021496750471329	1.3449061454112e-08	0.078421746005224	0.0087055737259258	0.53919054203611	0.011417624401457	0.012692013397336	4.9959765607298e-12	1.9637825058549e-10	4.187516041444e-06	0.90946719430304
10.2	-1.4421651147514e-41	9.393615727026e-41	3.4020159228886e-10	0.015343323265231	0.021914675922933	1.1744950476473e-09	0.049587811765076	0.12317184867174	0.035777203640749	8.6880589415318e-11	0.02149514885507	1.2404052285653e-08	0.078411192190654	0.0089054462036138	0.57472997961066	0.011416087844328	0.012690305778291	8.7689477222145e-12	3.6610268461725e-09	4.2878322300224e-06	0.9094697111714
10.48	-3.432679099336e-41	3.0637752077982e-41	7.1057527156543e-11	0.015340435752624	0.021910547440233	3.948558587236e-10	0.048790294468951	0.12028163609261	0.035770467622644	1.7054765400156e-11	0.02149290461947	1.1137456830909e-08	0.078396418966879	0.0088266835945038	0.54488253671121	0.011413936972512	0.012687915392507	5.3928638867045e-12	1.1918996371901e-09	4.421491797541e-06	0.90947323437491
10.872	-3.2415404161107e-43	7.1581900767385e-42	8.5961588274125e-12	0.015336393352126	0.021904768268795	8.8842027866395e-11	0.048300163420074	0.12001964442579	0.035761036590287	1.8868907037179e-12	0.021489759965377	9.6349594322658e-09	0.078375740641325	0.008744345867174	0.54122969993356	0.011410926361673	0.01268456896234	3.8051081415619e-12	3.1786499234469e-10	4.612961728759e-06	0.90947816609301
11	-2.8050898381049e-43	4.4251840521927e-42	4.1746709102513e-12	0.015335073413449	0.021902881417989	5.3049835114192e-11	0.048201346137415	0.11989805127049	0.035757957209439	8.9016239481174e-13	0.021488733941438	9.2001373879156e-09	0.078368989425819	0.0087300703797026	0.54110970127937	0.011409943434765	0.0126834763495	3.5322778637063e-12	2.2048483363543e-10	4.6730735613214e-06	0.90947977608548
11.2	5.7647300404425e-43	2.1321933647595e-42	4.8025054794787e-10	0.01533301098652	0.021899933888056	1.6744448614508e-09	0.047982110100017	0.11895528383625	0.03575314769841	1.1575997299595e-10	0.0214871324384	8.5518570682527e-09	0.078358441205637	0.0089212453113977	0.57514488397221	0.011408407692138	0.012681769779424	9.1292982551236e-12	5.088031245635e-09	4.7751057377639e-06	0.9094822910075
11.48	-1.6555708000298e-41	8.1098494724433e-43	1.1098794943464e-10	0.015330123716831	0.021895807666001	6.022028117432e-10	0.047434807789728	0.11665561470691	0.035746414741823	2.5251599488294e-11	0.021484891119119	7.7614282366212e-09	0.078343675564904	0.0088435150742768	0.54611838552956	0.011406257924357	0.012679380827741	4.8499093365288e-12	1.7193284824831e-09	4.8990802746093e-06	0.90948581123243
11.872	-9.6598639572671e-43	2.2739328672445e-43	1.5395982514978e-11	0.0153260819136	0.021890031428838	1.4826750005891e-10	0.04719754560387	0.11697491593457	0.035736987508051	3.2291362086045e-12	0.021481754467219	6.8055244363554e-09	0.078323007571809	0.0087628327577142	0.54238975168625	0.011403248817847	0.012676036172477	2.9555537711092e-12	4.3534391211066e-10	5.0668939043324e-06	0.90949073849235
12	-2.8992940712654e-43	1.4855391803039e-43	7.7949939375431e-12	0.015324762224763	0.021888145512986	9.1273671693695e-11	0.047167905577027	0.1170287441263	0.035733909341971	1.590706712115e-12	0.021480731579986	6.5248958355792e-09	0.078316259685952	0.0087486585921709	0.5422111589254	0.011402266375711	0.012674944113	2.6706219232563e-12	2.841723768199e-10	5.1179690449246e-06	0.90949234698422
12.2	-2.1897970889051e-43	7.7240294099626e-44	5.6880085359735e-10	0.015322700215253	0.021885199449034	2.0326447584238e-09	0.047076592363926	0.11656712774002	0.035729101918765	1.3055728523454e-10	0.021479136424407	6.09937909468e-09	0.078305716518729	0.0089351954266492	0.57538854212763	0.011400731368757	0.012673238447688	9.4630203157696e-12	6.0799364319493e-09	5.2050689382914e-06	0.90949485940862
12.48	-6.8772331644541e-43	3.2215026942384e-44	1.4160700543833e-10	0.01531981360015	0.021881075239239	7.6756290138591e-10	0.046674920297676	0.11460697883288	0.035722371942077	3.0776535501794e-11	0.021476905679071	5.5778205256794e-09	0.078290957797584	0.0088582760811399	0.54682619575051	0.011398582608417	0.012670850750195	4.5984864969653e-12	2.1413201730439e-09	5.3001005639082e-06	0.90949837597943
12.872	1.0488891735325e-44	1.0042227851058e-44	2.1609302668239e-11	0.015315772855045	0.02187530171482	2.0112056586108e-10	0.046584625307657	0.1152663348708	0.03571294861269	4.3528119580327e-12	0.021473785332103	4.9362964520809e-09	0.078270299391406	0.0087784027669047	0.54305021527036	0.01139557489769	0.012667507724093	2.4372485551692e-12	5.4791101499739e-10	5.4236528728188e-06	0.90950329802225
13	-7.1414850091207e-44	6.770919457924e-45	1.1248971104632e-11	0.015314453545237	0.021873416678301	1.2632056803605e-10	0.046594947086997	0.11542228701915	0.035709871709609	2.2069910393256e-12	0.021472767737938	4.7456820877511e-09	0.078263554638564	0.008764145480787	0.54283707795028	0.011394592911699	0.012666416183778	2.1275621015003e-12	3.5107422775791e-10	5.4603816642925e-06	0.90950490481351
13.2	1.2337809360203e-42	3.676803488088e-45	5.7831369925912e-10	0.015312392152134	0.021870471955904	2.1311694573862e-09	0.046577372048974	0.11523985414436	0.035705066227108	1.2649953545439e-10	0.021471181212686	4.4527025267382e-09	0.078253016340335	0.0089477993611257	0.57553187376968	0.011393058613634	0.012664711315782	9.151143699828e-12	6.299854203064e-09	5.524945682001e-06	0.90950741455377
13.48	-2.1730369561822e-41	1.6150688742497e-45	1.5097461028482e-10	0.015309506447527	0.021866349638272	8.2929145851534e-10	0.046258249092581	0.11347156459174	0.035698339044489	3.1332526073544e-11	0.02146896270298	4.0923241484187e-09	0.078238264409898	0.0088708131669764	0.54722561966903	0.01139091084197	0.012662324739917	4.251618339481e-12	2.2853655559784e-09	5.5869969260304e-06	0.90951092734082
13.872	-1.0492455962323e-42	5.3377381268375e-46	2.4433145486008e-11	0.015305467070261	0.021860578789653	2.2560468945013e-10	0.046250209629111	0.11432453427292	0.035688919712232	4.714797987654e-12	0.021465858820314	3.6435829626551e-09	0.078217615551024	0.0087905487346811	0.5434203542241	0.01138790452126	0.012658983283793	2.0403848778578e-12	5.9563516565878e-10	5.6663381576763e-06	0.90951584412894
14	-2.6867511362516e-43	3.6616073982907e-46	1.2932798305315e-11	0.015304148230396	0.02185869463373	1.4337821051655e-10	0.046282655498107	0.11453807029001	0.035685844133109	2.4322816397641e-12	0.021464846228721	3.5091147672986e-09	0.078210873944056	0.0087759703468648	0.54318721028522	0.011386922993284	0.012657892257536	1.7273511696015e-12	3.8011306036268e-10	5.6896166307323e-06	0.90951744923371
14.2	1.0211642677405e-42	2.0362790976157e-46	5.467285562239e-10	0.015302087595621	0.021855751248193	2.068268013012e-09	0.046305725472724	0.11451165271057	0.035681040602848	1.1387363639951e-10	0.021463267219764	3.300323915919e-09	0.078200340602432	0.0089575963138191	0.57561470956123	0.011385389416864	0.01265618815884	8.4588978146715e-12	6.0611835486015e-09	5.7335171364713e-06	0.90951995638105
14.48	1.1186311363374e-42	9.2000975798328e-47	1.4675279777658e-10	0.015299202990339	0.02185163083766	8.1834763502709e-10	0.046031256220752	0.11284811280876	0.03567431623212	2.903442378103e-11	0.02146105856518	3.0431548950175e-09	0.078185595655366	0.0088799791130761	0.54744814476894	0.011383242661927	0.012653802673215	3.82249840008e-12	2.2378239557233e-09	5.7688986088145e-06	0.90952346558373
14.872	-1.718715661733e-43	3.1379670198465e-47	2.4565953354092e-11	0.015295165217347	0.021845862738206	2.2731913105485e-10	0.046066860581896	0.11380604514871	0.035664901086112	4.5273272935181e-12	0.021457967013833	2.7203646135435e-09	0.078164956661557	0.0087987713481153	0.54362617902589	0.011380237777497	0.012650462803735	1.7070279672645e-12	5.9037649613389e-10	5.8149329661017e-06	0.90952837744557
15	1.2157257957322e-43	2.1726755244312e-47	1.3127101627528e-11	0.015293846917603	0.021843979490934	1.4540962025362e-10	0.046110898727029	0.11405046001663	0.035661826906356	2.3587065398527e-12	0.021456958026551	2.6231076818241e-09	0.078158218306896	0.0087838143428429	0.54338197486309	0.011379256723033	0.012649372303419	1.408872852257e-12	3.7628344662881e-10	5.828443848294e-06	0.90952998097388
15.2	8.95497678847e-43	1.2235087913509e-47	5.4559902542872e-10	0.015291787140117	0.021841037518318	2.095889376661e-09	0.046155462136955	0.1141095656067	0.035657025569533	1.0854080121169e-10	0.021455384402929	2.4706061148294e-09	0.078147690067452	0.0089640234168914	0.57566229986189	0.011377723889453	0.012647669029552	8.2204654250055e-12	6.104885320382e-09	5.8586329262241e-06	0.90953248567901
15.48	-4.0454233477814e-42	5.6117678714864e-48	1.4876742241503e-10	0.015288903763111	0.021836919110315	8.3669816358116e-10	0.045904339375833	0.11250161234747	0.035650304331488	2.8131189435235e-11	0.021453182527182	2.2832502131764e-09	0.078132952318744	0.0088857029140361	0.54757295931848	0.011375578182543	0.012645284712997	3.599071308931e-12	2.2741831599312e-09	5.8755148691016e-06	0.90953599151988
15.872	-6.7546205959819e-43	1.9468429007225e-48	2.5380094669307e-11	0.01528486776245	0.021831153861214	2.3505862533719e-10	0.045962061548543	0.11351297934314	0.035640893663224	4.4749762592377e-12	0.021450098868496	2.0469144352712e-09	0.078112323523449	0.0088036019050716	0.54374229849259	0.011372574782941	0.012641946500424	1.4840804103417e-12	6.0290201986531e-10	5.8998681024267e-06	0.90954089880054
16	-3.9138066264518e-43	1.3547545973881e-48	1.363494774897e-11	0.015283550053076	0.021829271552476	1.5089471080515e-10	0.046011862137111	0.11377291697048	0.035637820961634	2.3444317836493e-12	0.021449092107129	1.9754569373291e-09	0.078105588526156	0.008788342798428	0.54349230167851	0.011371594217285	0.012640856544821	1.1883526827155e-12	3.8349908260336e-10	5.9072120525183e-06	0.90954250086123
16.2	-1.1364373823489e-43	7.7534630842786e-49	5.294409668878e-12	0.015281491294224	0.021826330682339	7.6264272583191e-11	0.046063654849971	0.11383891389429	0.035633020146039	8.7696436608204e-13	0.021447519298615	1.8691578619613e-09	0.078095065991534	0.0089678123801921	0.5756793943011	0.011370062214284	0.012639153595318	9.1566033226037e-13	1.9450007378413e-10	5.917865657387e-06	0.90954500374448
16.48	-3.2371595916244e-44	3.5992951100405e-49	1.4570699584668e-12	0.015278609361607	0.021822213962095	2.9824102024625e-11	0.045820213792116	0.11225582600144	0.035626299695276	2.2950634880766e-13	0.02144531796554	1.7305955065602e-09	0.078080336263428	0.0088892006217157	0.54764860821362	0.011367917675114	0.012636769720727	7.226977519701e-13	8.0148874528689e-11	5.9309686817043e-06	0.90954850707026
