# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
11.2	0.0050714554146233	116.40500383941	0.0012905416224382	0	0.091047782459353	2.0187492024082	1.4623787646622	3.5834268933648	0.016871115805914	0.0020126237158215	2.0175344625447	0.0037521003047535	0.057467309828223	1.1630979764993	1.9910664106005	0.00032526555515243	0.26260121630897	7.1803961795525	0.015083381606857	6.6101923788594e-08	0.010707771614751	1.0878643096591	0.041888614171142	0.00096499018868015	0.00096499018398221
11.48	0.0051864269055706	116.40761368934	0.0013212760251017	0	0.087962656818163	2.0074759373896	1.4632302420181	3.5846250321021	0.01582746432795	0.0020098651704364	2.0177707805819	0.0038632022907342	0.05585099526057	1.162948606237	1.9907356763627	0.00032728386979697	0.25868777227012	7.1795734554261	0.014645074117572	6.6725800382299e-08	0.0098601284295775	1.0877604529828	0.043010946007109	0.00088841034471697	0.00088841034039206
11.872	0.0052658050221347	116.41124280492	0.0013495848217913	0	0.084149224643195	1.9917991337515	1.4643260028505	3.5861730556598	0.014551831004359	0.0019778368911704	2.0180701507554	0.0039836588283664	0.05449487758005	1.1627351979449	1.9902661407581	0.00032661639287113	0.25345820891057	7.1783812917421	0.014203461710389	6.7149297379811e-08	0.0088271665366479	1.0876023845744	0.044415207115211	0.00081810982176532	0.00081810981778281
12	0.00527483630059	116.41242168403	0.001355107562476	0	0.083013881982401	1.9867066838688	1.4646665948609	3.5866537385147	0.014175558939857	0.0019620201502882	2.0181628030194	0.004013220322252	0.054176417637506	1.1626646874669	1.9901114299051	0.00032555193845772	0.25179020564473	7.1779830073217	0.014100074087831	6.718681630829e-08	0.0085232386005092	1.0875479400209	0.044816946417335	0.00080120801988119	0.00080120801598101
12.2	0.0052744478976088	116.41425761963	0.0013597665284931	0	0.08134190713372	1.9787757973665	1.465184189262	3.5873828131177	0.013625001949531	0.0019320071575247	2.018303257506	0.0040485639900427	0.054017409887435	1.1625537465374	1.989868380538	0.0003229826533774	0.24917666922016	7.1773520175685	0.014191350930543	6.7143722616154e-08	0.0080793169086316	1.0874602149211	0.04537765463987	0.00077970591353417	0.00077970590973871
12.48	0.0052519667826569	116.41681556742	0.0013600580812504	0	0.079193086938931	1.9677257470602	1.4658846045762	3.5883645452025	0.012924508992141	0.0018830915582346	2.0184931618414	0.0040803865383299	0.053170146442886	1.1623970104179	1.9895255821599	0.00031799630414758	0.24561786613024	7.1764521040442	0.013978540549645	6.6931507177458e-08	0.0075160641075522	1.0873322872641	0.046055356313032	0.00075720101849065	0.00075720101480478
12.872	0.0051873123911895	116.42037261538	0.0013492490970872	0	0.076518469942048	1.9523593482039	1.4668291757777	3.5896750132094	0.012065933100621	0.0018054047982535	2.0187494916083	0.0040905431720462	0.052594987432308	1.1621749466802	1.9890409111095	0.00030862008379744	0.24069301205067	7.1751621894336	0.01376335772463	6.6381501858393e-08	0.006828672045177	1.0871439044147	0.046761535268544	0.0007358618262339	0.00073586182265196
13	0.0051613880885066	116.42152808993	0.0013436661937257	0	0.075717658046738	1.9473677325205	1.4671308152338	3.5900892480518	0.011812093315038	0.0017792085363633	2.018831318111	0.0040868937011535	0.052479423967933	1.1621017642014	1.9888814850766	0.00030516308261685	0.23909332266592	7.1747340915986	0.01371429799989	6.6159753304913e-08	0.00662617449775	1.0870802613151	0.04693632860279	0.00073061399524955	0.00073061399169316
13.2	0.0051160902325509	116.42332759015	0.0013328335045389	0	0.074533746497672	1.9395938830254	1.4675961784312	3.5907238212537	0.011440076772273	0.0017373663903676	2.0189574301018	0.0040738074546664	0.052624349008446	1.1619867385236	1.9886312361478	0.00029935916206461	0.23656092749256	7.1740585971536	0.013867332905269	6.5764919507225e-08	0.0063301503386716	1.0869787992485	0.047145438737695	0.00072384298436786	0.00072384298084444
13.48	0.0050496800540363	116.42583479566	0.0013155633904589	0	0.07300306988853	1.9287626306735	1.4682372954081	3.5915882613545	0.010965545011418	0.0016798056063858	2.0191307924779	0.0040467087416455	0.052118964823433	1.1618243141351	1.9882786010063	0.00029094375863252	0.23307931879038	7.17310024618	0.013724883496849	6.5170683817804e-08	0.005954044293658	1.0868328584826	0.047357036846584	0.00071669013149907	0.00071669012801049
13.872	0.0049513635284886	116.42932131529	0.0012878355719156	0	0.071080706178251	1.9137004946316	1.4691181994988	3.5927564955129	0.010381639968136	0.0016017873268592	2.0193678214976	0.0039927780112909	0.051863578588965	1.1615941970035	1.9877806068175	0.00027880272551584	0.22821589927005	7.1717356730763	0.013569924347092	6.42667618394e-08	0.0054940790938013	1.0866215416887	0.047482111896712	0.00071003654562758	0.0007100365421714
14	0.0049190156516831	116.43045387889	0.0012783033734027	0	0.0705009736546	1.9088077171864	1.4694024552798	3.5931285319087	0.010208445261956	0.0015773531211666	2.0194438503716	0.0039723959427736	0.051826753635221	1.1615183765737	1.9876169750933	0.00027485330058585	0.22662924774847	7.1712848785778	0.013534075184253	6.3963115438609e-08	0.005358339996686	1.0865509623428	0.047487432446422	0.00070848937976659	0.00070848937631795
14.2	0.0048674334176572	116.43221770404	0.0012627110582001	0	0.069639711171996	1.901187796258	1.4698434764487	3.5937008783829	0.0099540442941645	0.0015398862341064	2.0195612635266	0.0039370721380481	0.052084096202047	1.1613992280403	1.9873603073187	0.00026865093420606	0.22411307842815	7.1705755287466	0.013700194667145	6.3469609911255e-08	0.0051596627248392	1.086439188839	0.04745090632631	0.00070663237241597	0.00070663236897637
14.48	0.0047977860301404	116.43467521458	0.0012411979916106	0	0.068517888860113	1.8905710110666	1.4704551831888	3.5944848664862	0.0096283922157764	0.0014906462109735	2.0197229204305	0.0038860752586031	0.051700316660495	1.1612310639566	1.9869990358822	0.00026029389443649	0.22064546442895	7.1695729224961	0.013573699427454	6.2785443363699e-08	0.0049067479348252	1.0862798587545	0.047359970777293	0.00070500934415643	0.00070500934072473
14.872	0.004701857695554	116.43809264699	0.0012111277628798	0	0.067093486734714	1.8758071159195	1.471301799103	3.5955516026024	0.0092255083376826	0.0014267232399796	2.0199441155586	0.0038103591561292	0.05155068036086	1.160993080749	1.9864897241235	0.00024913151702522	0.21579380808178	7.1681521064638	0.013433066097801	6.1823433441469e-08	0.004596508518102	1.0860517389307	0.047135214784906	0.00070425666006401	0.00070425665663597
15	0.0046712091067766	116.43920276815	0.001201446448882	0	0.066660199962369	1.8710112199833	1.4715761410056	3.5958928897123	0.0091054744590554	0.0014070997694458	2.0200150825675	0.0037850820778945	0.051538502676044	1.1609147612441	1.9863226046257	0.00024564499831516	0.21421012559189	7.167684240446	0.013400705298729	6.1512061152194e-08	0.0045047245148063	1.0859761212914	0.047042330892516	0.00070431465923975	0.00070431465581143
15.2	0.0046240717421942	116.44093164591	0.0011865055205677	0	0.06601276722402	1.8635421803496	1.472002784093	3.5964194627567	0.0089286173416838	0.0013776733289575	2.0201247292366	0.003745258252382	0.051823840027536	1.1607917953173	1.9860607050021	0.00024036283396006	0.21173637778563	7.1669494750482	0.013570394054198	6.1026112837676e-08	0.0043701474144619	1.0858569066834	0.046879533315683	0.00070468551651129	0.00070468551308117
