# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
5.2	0.25189503171339	4013.912795303	0.084878151793069	0	13.036168941087	78.526350217668	48.720281605662	120.82696523011	4.1547376911424	0.17490247770513	68.352516225638	0.25170284752011	9.7624435927216	2.2807062575347	12.043149850256	40.10850136178	68.775522438289	0.029890866168895	14.34313884468	247.65703808219	2.2107543855758	2.2356947325256	4.4464491181014	3.3011842670238e-06	1.8526339738565e-05	2.1827524005589e-05	3.3195667288203	37.378619628919	14.149526003031
5.48	0.23027965132868	4014.0147787917	0.076998152725059	0	11.864707637352	78.087851605022	48.830993833626	121.0722037568	3.7267092879295	0.15734365855601	68.547300829901	0.2262891819935	9.3180950138987	1.8903546479595	11.208449661858	40.121277798733	68.78659973298	0.026925090692328	14.16028128447	247.72196412843	2.1005458466007	1.8317955415121	3.9323413881127	3.1012779219698e-06	1.7348678643332e-05	2.0449956565302e-05	2.965102021588	37.407253769977	10.891214406903
5.872	0.20446976628823	4014.1565042857	0.067591393431528	0	10.438959018041	77.478070064085	48.98567907949	121.38880685173	3.2063980862692	0.13638448002814	68.785802462219	0.19675035576811	8.5685076613051	1.7663444003259	10.334852061631	40.135597658178	68.797640802685	0.023368402764358	13.850821344854	247.79443485832	1.9009067240091	1.766719901011	3.6676266250201	2.86455911323e-06	1.5982040934246e-05	1.8846600047476e-05	2.5343399707522	37.440877476928	7.0158928345211
6	0.19692892793638	4014.202564673	0.064859343193258	0	10.019904819287	77.279985665372	49.036018988681	121.48632793538	3.0536246806218	0.13027435811581	68.854822993051	0.18827644734644	8.3067260547968	1.7283056033043	10.035031658101	40.139509601658	68.800280721905	0.022333894101337	13.73859213072	247.81410316833	1.8293802857299	1.7588244086196	3.5882046943495	2.795308762667e-06	1.5580455166209e-05	1.8375763928876e-05	2.4078909727684	37.450458201056	5.9357530370035
6.2	0.1861832264884	4014.2742747452	0.060914358238134	0	9.4082919900631	76.971492961392	49.114297160265	121.63302685555	2.8308108804742	0.12149753031138	68.950494989347	0.17618348685743	8.2395505747519	1.9572539240031	10.196804498755	40.144901020362	68.803499587068	0.020833002869888	13.550856332035	247.84109883077	1.725072224634	2.1546532292144	3.8797254538483	2.6966324369845e-06	1.4997521055898e-05	1.7694153492883e-05	2.2235022035993	37.464119511926	4.5184757277664
6.48	0.17292541404515	4014.3741430425	0.056047706299791	0	8.6331997704022	76.541672591319	49.222845248215	121.82744977527	2.5487617863729	0.11062630570914	69.059251094015	0.16146644542237	7.3816288466188	1.6081885040742	8.989817350693	40.151102750022	68.806308057262	0.018970520524457	13.275504586507	247.87188636662	1.5137027850182	1.7746286777549	3.288331462773	2.5744756455694e-06	1.4268515838011e-05	1.684299148358e-05	1.990157587012	37.480794872937	3.1026017426987
6.872	0.15744864098137	4014.5129408691	0.05031797384117	0	7.6890489540535	75.943957877393	49.371964212728	122.07975359237	2.2058063163513	0.097767237391795	69.170304738176	0.14442075188903	6.2170942988195	1.4212747752418	7.6383690740613	40.157454682596	68.807291115751	0.016758271485605	12.865270115693	247.90278910275	1.233475005422	1.7162681403555	2.9497431457775	2.4303884687856e-06	1.3411608234906e-05	1.5841996703691e-05	1.7065463879333	37.499884051158	2.0332196184514
7	0.15297937930963	4014.5580324385	0.048671934626	0	7.4113468282264	75.749794354689	49.419895387976	122.15771343509	2.1050848335532	0.094041855434863	69.199829789461	0.13956232939856	5.8760767388828	1.3643406348417	7.2404173737245	40.159027915732	68.806975058841	0.01611931789518	12.726532917698	247.91023396098	1.1572001941095	1.7142193575731	2.8714195516826	2.3884460722926e-06	1.3158413298248e-05	1.5546859370541e-05	1.6232838998295	37.505196318192	1.8246680650431
7.2	0.14685484360886	4014.628241164	0.046335849213322	0	7.0058320537857	75.447407853985	49.493721943872	122.2750495032	1.9581619993264	0.08877317090057	69.240485850814	0.1327101128916	5.4908809254617	1.3547191131352	6.8456000385969	40.161009001873	68.805878280474	0.015203139932954	12.505619769004	247.91937845769	1.0748914073827	2.0579250488755	3.1328164562582	2.3294640908089e-06	1.2796978250647e-05	1.5126442341456e-05	1.5018598147461	37.512631352965	1.6064290816112
7.48	0.13966403498548	4014.7260329073	0.043538922366628	0	6.4915126665345	75.026095064049	49.594560741675	122.43044912777	1.772130170232	0.082385335595044	69.289710401592	0.12457155577381	4.8052507484654	1.1414432744654	5.9466940229308	40.162886971826	68.803210800681	0.01408691927741	12.194216042034	247.92751831106	0.95883534845784	1.783950436237	2.7427857846948	2.2580407517334e-06	1.2332775575014e-05	1.4590816326747e-05	1.3481768536307	37.521419123284	1.433775324755
7.872	0.13216966448483	4014.8619691864	0.040454078995092	0	5.8642239467363	74.440210598744	49.729756191322	122.63118326222	1.5458318522585	0.075173462589079	69.348978930525	0.11569614551376	4.1037050011163	1.0035923054781	5.1072973065944	40.163952454798	68.797501635933	0.012813124091049	11.75815582508	247.93077579073	0.85007475801924	1.7675550219751	2.6176297799943	2.1783500157719e-06	1.1798793532535e-05	1.3977143548307e-05	1.1613489565067	37.530900496266	1.316217991607
