# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	MO_Acetic [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
8	0.26162489559579	11653.833634731	0.12359552351386	0	13.9171198197	63.910791681288	140.40256182124	366.36687732996	107.9153557581	3.9918558879441	0.1328829124437	199.29148337454	0.48910275540628	9.4083155419249	3.118541839132	12.526857381057	116.09961591135	198.01428556224	0.041046750870027	29.841207112293	714.36058188421	1.9502289716496	4.2658926581246	6.2161216297742	5.6720913868283e-05	0.00037946811986055	0.00043618903372883	3.0881819211594	108.05272396259	2.9381293442902
8.2	0.25225501856761	11653.952230036	0.11798852360597	0	13.118600617158	63.401556234474	140.54911760034	366.68141742765	107.9321817567	3.7084659538212	0.12619327025916	199.32761669154	0.46580838149229	9.5375541437312	3.4033722023644	12.940926346096	116.07930228643	197.96626788846	0.038855385818746	29.286708556651	714.21485745885	1.9381603240909	5.0478408323804	6.9860011564713	5.5777904561093e-05	0.00036843851389027	0.00042421641845136	2.8551639040327	108.04161835467	2.8883157344155
8.48	0.24110780026093	11654.116604954	0.11114696674419	0	12.104051219692	62.695443702271	140.74757579435	367.0946853595	107.95290028887	3.349425496789	0.11797360028855	199.37251912368	0.43735300375263	9.173094473527	3.0183594233498	12.191453896877	116.04873929209	197.8969516611	0.03614601907982	28.53074632462	714.00183935552	1.8618421152375	4.3876182162529	6.2494603314904	5.4701269591027e-05	0.00036056353747207	0.0004152648070631	2.5601505729931	108.02304518776	2.8566521116402
8.872	0.2288149175736	11654.343518347	0.10323273156831	0	10.863317478329	61.720098415529	141.00977910038	367.62347718452	107.97698551368	2.9122647715573	0.10833714890097	199.4257792745	0.40440555743688	8.8348611590049	2.9324105579683	11.767271716973	116.00226516672	197.79628214109	0.032943728403168	27.532695710673	713.68791579932	1.7616380136826	4.2889612257269	6.0505992394095	5.3570235698413e-05	0.00035712001319265	0.00041069024889106	2.2013435580088	107.99179000697	2.8439406319797
9	0.22523175133387	11654.416834229	0.10096502877477	0	10.497186734468	61.404903037375	141.0917161387	367.78515953746	107.98380090418	2.7837333203337	0.10550827799254	199.44113991982	0.39498555535541	8.756593652437	2.9139650669578	11.670558719395	115.98630449225	197.76263417422	0.032014375349021	27.224579849004	713.58201182431	1.7326830132177	4.283710016417	6.0163930296347	5.3251741288488e-05	0.00035627453730859	0.00040952627859708	2.0959464832369	107.98045062854	2.8433118069466
9.2	0.22066684558391	11654.530611287	0.097786556877488	0	9.9613194428563	60.915632810752	141.21529825258	368.02571423246	107.99310328475	2.5960963674149	0.10153505198861	199.4624620749	0.38183012059652	8.9220510774544	3.1741133027402	12.096164380195	115.96062295288	197.70932727255	0.030688082481383	26.675692391328	713.41331808595	1.7229336227404	5.0191594188452	6.7420930415857	5.2708929065727e-05	0.00034839676298887	0.0004011056920546	1.9421819810622	107.96166898695	2.8201205702294
9.48	0.21528686985987	11654.688320159	0.093879372518886	0	9.2792356802084	60.237204034612	141.37907151102	368.33839657913	108.00356919581	2.3582188328192	0.096537011168421	199.48729734231	0.36564442288661	8.6742528007588	2.8603137019399	11.534566502699	115.92328924582	197.63333745718	0.029018062336554	25.95585282773	713.17115053877	1.6534174844978	4.3860148938299	6.0394323783277	5.2112443244309e-05	0.00034322849578059	0.0003953409390249	1.7474453661497	107.93339120293	2.8189744027855
9.872	0.20898615321435	11654.906062785	0.08919474147368	0	8.4427351510205	59.300097488069	141.59016760776	368.73374327244	108.01397693063	2.0682970089068	0.090286857432794	199.51392435644	0.34641656851042	8.4717334716115	2.8167137994499	11.288447271061	115.8686635377	197.52462360055	0.026960183352398	25.052157818382	712.82169524925	1.5645563494607	4.2811511592375	5.8457075086982	5.1511585704244e-05	0.0003424873418254	0.00039399892752964	1.5104803094099	107.89037572239	2.840859236403
10	0.2069281705914	11654.976416774	0.087792289322924	0	8.195315023152	58.997260095409	141.65521177558	368.85389218602	108.01651891975	1.9829855822207	0.088346489191489	199.52098827651	0.34074414325659	8.4315221361697	2.8100076485489	11.241529784719	115.85033085182	197.48863188211	0.026339087720724	24.78263420427	712.70533649956	1.5397251542753	4.2728572783139	5.8125824325892	5.1336658225741e-05	0.00034234725626246	0.0003936839144882	1.4408444453773	107.87559170397	2.849583664685
10.2	0.20406941483571	11655.085607122	0.085845614021102	0	7.8326039724506	58.527172819004	141.75276367432	369.03230599836	108.01942502638	1.8583712391234	0.085473989306888	199.5299169029	0.33331438424075	8.6184291390156	3.0523228098129	11.670751948829	115.82124096964	197.43194706757	0.025458417542331	24.314006838933	712.52140165938	1.5366498951142	4.9864319202394	6.5230818153536	5.0978436109751e-05	0.00033566471021545	0.0003866431463252	1.3392222754912	107.85180872162	2.8370815491201
10.48	0.19998344213774	11655.236978678	0.083157566320209	0	7.3697528617707	57.875343312023	141.88170600575	369.26435643834	108.02157529747	1.7002466720658	0.081488763667467	199.53866338953	0.32329912521547	8.4392460350544	2.7826869808672	11.221933015922	115.77971107839	197.35176547535	0.024248063537549	23.711835636814	712.25994649044	1.4802218569892	4.3668830272233	5.8471048842125	5.0554211440996e-05	0.00033126739077712	0.00038182160221812	1.2104620559145	107.81723760855	2.8447222388742
10.872	0.19374063691255	11655.446011886	0.079413908121684	0	6.7999061788589	56.974977902012	142.04912758366	369.56062574811	108.02174207061	1.5072532789323	0.075925154039166	199.54547114461	0.30971357673273	8.3153266796608	2.7664403238952	11.081767003556	115.72020526843	197.238103628	0.022593546182165	22.970628993092	711.88705734319	1.4127563604504	4.2593324754324	5.6720888358828	5.0055561903679e-05	0.0003309991222377	0.00038105468414137	1.0536668576434	107.76663273839	2.8678188618784
11	0.19155058837481	11655.513557411	0.078192792630855	0	6.6308173374795	56.684014233788	142.10123963953	369.65162509371	108.02126228145	1.4503966017262	0.074132791912145	199.54667980587	0.30534226088131	8.2960640571457	2.7667525044392	11.062816561585	115.70048436447	197.20068721798	0.022065002147032	22.751801127121	711.76380447881	1.395051169282	4.250063462844	5.645114632126	4.9893224938147e-05	0.0003308954338985	0.00038078865883665	1.0075622985801	107.74962937583	2.8749580405852
11.2	0.18804403142536	11655.618397808	0.076550607303085	0	6.3823879510808	56.232358252312	142.1802597768	369.78822044751	108.01985634559	1.3672773283146	0.0714074304906	199.54725432193	0.30012899726683	8.4876512715316	2.9931191902436	11.480770461775	115.66943152623	197.14196678842	0.021338040477426	22.355815633048	711.56983309871	1.403514782412	4.9580040555241	6.3615188379361	4.9534760939916e-05	0.00032495935547006	0.00037449411640997	0.94025160567804	107.72262846876	2.8587127819638
11.48	0.18279772786521	11655.763755313	0.074011935606434	0	6.064277245433	55.60608582005	142.28674938149	369.96900083813	108.01674284047	1.261669142718	0.067505675067484	199.54578243862	0.29211946732244	8.3394286793905	2.7482655644878	11.087694243878	115.62553246215	197.05927988481	0.020267108568774	21.844743144708	711.2956572393	1.3641384685043	4.3466780370927	5.710816505597	4.9053667091219e-05	0.00032023080949779	0.00036928447658901	0.85490854315231	107.68400441156	2.8538313036044
11.872	0.17506735290913	11655.964510925	0.070260765542345	0	5.6705714938376	54.74102205659	142.42928677363	370.20616836528	108.01082890655	1.1325129407839	0.062149998705882	199.54070220103	0.28001122537941	8.2492939315649	2.7455503119638	10.994844243529	115.56331105177	196.94265707605	0.018749648397476	21.207585841509	710.90722297535	1.3186416756367	4.2402441842232	5.5588858598598	4.8434539213355e-05	0.00031920782323976	0.00036764236245311	0.7508753259666	107.62848398189	2.8535605213466
12	0.17254345638369	11656.029385545	0.069032596025654	0	5.5532477909063	54.461466730935	142.47461835953	370.28042598078	108.0086130057	1.0943992502085	0.060474305977634	199.53849268758	0.27596120280897	8.2380293414681	2.748778392842	10.98680773431	115.54282084312	196.90438368072	0.018264821680517	21.017197723755	710.77937451776	1.3072994284467	4.2313567320886	5.5386561605353	4.8234043026066e-05	0.00031887821151845	0.00036711225454452	0.72025843404387	107.61003704356	2.8529780184659
12.2	0.16859188970184	11656.13008507	0.06734087845326	0	5.380364630449	54.027519640335	142.54432245861	370.39344151828	108.00480415266	1.0386153217128	0.057974357189614	199.53433423228	0.27070109136095	8.4242138429632	2.9623430206682	11.386556863631	115.51066080926	196.84441682428	0.01758208155386	20.64752200744	710.57867462528	1.3251621578686	4.9395187047826	6.2646808626512	4.7845415854111e-05	0.00031444776137676	0.00036229317723087	0.67553176539449	107.58092654353	2.8342649017862
12.48	0.16305922141072	11656.269709846	0.064848688888692	0	5.1579815674288	53.425802572799	142.64001111594	370.54574085554	107.99885603486	0.96760842928612	0.054547123300136	199.52726148894	0.26282955588427	8.2866847983381	2.7307542837413	11.017439082079	115.46537135078	196.76015144784	0.016619522351541	20.162678539761	710.29590886811	1.2978483010513	4.3339565801676	5.6318048812189	4.7302239761033e-05	0.00030967117935251	0.00035697341911354	0.61876841745914	107.53962249947	2.8180430708604
12.872	0.15556220936925	11656.462561379	0.061365928116085	0	4.8808593532103	52.594656793173	142.77094897529	370.74990284219	107.98967817944	0.88052293350221	0.050084132092578	199.51565783829	0.25139330440538	8.2096429013315	2.7343433756371	10.943986276969	115.40146614979	196.64160504192	0.015320315264826	19.543765485232	709.8968811396	1.2656293120505	4.2291173244134	5.4947466364639	4.6606585280264e-05	0.000308152326314	0.00035475891159426	0.54947054638908	107.48082534088	2.7995907701401
13	0.15322170946273	11656.524883488	0.060264640875393	0	4.7978194839205	52.32606258052	142.81313956722	370.81468445858	107.98651901204	0.85476403142822	0.048726510319333	199.51154378208	0.24767364500474	8.2014135981651	2.7387786257359	10.940192223901	115.38048183733	196.60276626269	0.014917350530907	19.355632926937	709.76588624033	1.2578114662272	4.2206437308478	5.478455197075	4.6387574103432e-05	0.00030771004139028	0.00035409761549371	0.52905086467187	107.46141279126	2.7936258154974
13.2	0.14965782528238	11656.621623185	0.0585981145631	0	4.6749925634281	51.909130150547	142.87846568546	370.91409155604	107.98139097216	0.81700135992691	0.046689101805181	199.50471691693	0.2419046006547	8.3824345202659	2.9443129883558	11.326747508622	115.34758166617	196.54195884463	0.014298107602008	18.980891028707	709.56055490228	1.2805590401937	4.9291433257955	6.2097023659892	4.5991790221444e-05	0.00030408479494219	0.00035007658516363	0.4991947996103	107.43088195851	2.7754138914927
13.48	0.14486287308869	11656.755761446	0.056362621470023	0	4.516082277969	51.331005815013	142.96885611563	371.04936290569	107.97385533265	0.76881122194393	0.044032339820994	199.49441843406	0.23402554237442	8.2499768720216	2.7202137455959	10.970190617618	115.30130362645	196.45659731294	0.013491821144873	18.483494115914	709.2718479828	1.259171115219	4.3270092978451	5.5861804130641	4.5432152170134e-05	0.00029932650753993	0.00034475865971006	0.46125214102779	107.38776359541	2.7546242085674
13.872	0.13858827675986	11656.941041419	0.05344952372529	0	4.3163458958664	50.532448359637	143.09353957505	371.23262986951	107.96276887488	0.70947802952812	0.040678058266208	199.47889093725	0.2235316797771	8.181072912933	2.7276245455549	10.908697458488	115.23612067862	196.33668579428	0.012472017950962	17.839027454107	708.86545664341	1.2330626119391	4.2227956403973	5.4558582523364	4.4718547003192e-05	0.00029763918690868	0.00034235773391187	0.41483279213604	107.32674237169	2.7281219606883
14	0.13665488764766	11657.000917413	0.05255484318598	0	4.2560836967311	50.274385522537	143.13388153377	371.29115069063	107.95903973505	0.69187154536739	0.039669233911897	199.47359416514	0.22026370578371	8.1751287559468	2.7329093614401	10.908038117387	115.21474720718	196.29744209456	0.012164373558646	17.641318970277	708.7322672726	1.226815661607	4.2144198362605	5.4412354978676	4.4496733674108e-05	0.00029718222915038	0.00034167896282449	0.40113054468217	107.30667356212	2.7197679732944
