Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
8.872	2.8798694480242E-9	9.3665422528714E-9	1.51227242367776E-8	8.100955881E-10	1.78631905217354E-7	-5.182474533468E-4	1.73435445106228E-13	0.23063362838166	
9.0	2.8694700323752E-9	9.3361683458182E-9	1.46236301990764E-8	8.0021089432808E-10	1.78439498221464E-7	-4.6703050787582E-4	1.73396901062808E-13	0.2306848445819	
9.2	2.8692715552082E-9	9.3393538947024E-9	1.39831671978252E-8	7.889510807872E-10	1.78747660685334E-7	-3.97132021136E-4	1.73344331503308E-13	0.23075474272732	
9.48	2.9015445702396E-9	9.448427967021E-9	1.29910768645484E-8	7.815979461583E-10	1.80383348054694E-7	-3.1749395811984E-4	1.73284484048628E-13	0.23083438156692	
9.872	2.999439333764E-9	9.7775034457594E-9	1.19996291502964E-8	7.84628902736E-10	1.8481004456036E-7	-2.3555893784424E-4	1.7322296150735E-13	0.23091632045102	
10.0	3.038169294588E-9	9.9095628815414E-9	1.17374960273692E-8	7.8743185519228E-10	1.86574626263626E-7	-2.1448437920476E-4	1.73207145513898E-13	0.2309373966853	
10.2	3.1080564694654E-9	1.01474346827734E-8	1.14167634944258E-8	7.9387649256774E-10	1.89775254549136E-7	-1.86789860688524E-4	1.73186366083638E-13	0.23096509439732	
10.48	3.2207664158818E-9	1.05343322540598E-8	1.08784536788948E-8	8.060548762862E-10	1.95006965884548E-7	-1.57017890965792E-4	1.73164033509104E-13	0.23099487157146	
10.872	3.3835339805202E-9	1.11149340295796E-8	1.03671033117378E-8	8.2395272079398E-10	2.0318069396486E-7	-1.28780620554184E-4	1.73142856161452E-13	0.23102311726456	
11.0	3.4321366964376E-9	1.12957895516388E-8	1.02369880386716E-8	8.2879595577004E-10	2.0583949716546E-7	-1.21917875870588E-4	1.73137709691018E-13	0.23102998277214	
11.2	3.5017202490446E-9	1.15638877705932E-8	1.01002333106288E-8	8.3486116278174E-10	2.0995349101308E-7	-1.132138910167E-4	1.73131182385344E-13	0.23103869107754	
11.48	3.5850203913624E-9	1.1906045827775E-8	9.8153678575144E-9	8.4002429184726E-10	2.1557422521066E-7	-1.04233139069084E-4	1.73124447192536E-13	0.23104767759544	
11.872	3.661716366816E-9	1.22769863046092E-8	9.5762987705896E-9	8.3829027463574E-10	2.2260873767068E-7	-9.5990369904176E-5	1.73118264577564E-13	0.23105592760528	
12.0	3.6766667319122E-9	1.23680035820392E-8	9.5201479169844E-9	8.3555198583914E-10	2.2462145065668E-7	-9.4008798800224E-5	1.73116778114666E-13	0.23105791123598	
12.2	3.6893253763516E-9	1.24770339237686E-8	9.4919416157538E-9	8.289642438056E-10	2.2743435071508E-7	-9.1487856551984E-5	1.73114886884078E-13	0.23106043507772	
12.48	3.6900332764918E-9	1.25748920187044E-8	9.3427798556504E-9	8.1615108430246E-10	2.3082969528108E-7	-8.8849214649306E-5	1.73112907190186E-13	0.23106307705116	
12.872	3.6606148169734E-9	1.2605945264906E-8	9.2414291503798E-9	7.9206846624962E-10	2.3436833653028E-7	-8.6346908540014E-5	1.73111029650744E-13	0.23106558277164	
13.0	3.6454443501028E-9	1.25946334317344E-8	9.2210461812484E-9	7.8319124915096E-10	2.3524438894634E-7	-8.5731407930646E-5	1.73110567849718E-13	0.2310661990924	
13.2	3.616100188372E-9	1.25544889577612E-8	9.2464102103092E-9	7.6830596309286E-10	2.3629690143876E-7	-8.4936983195916E-5	1.731099718591E-13	0.23106699451044	
13.48	3.5691962665402E-9	1.24708413719852E-8	9.1574919912058E-9	7.4669830143424E-10	2.3735761368832E-7	-8.4097347669472E-5	1.7310934213094E-13	0.23106783496534	
13.872	3.4939287716136E-9	1.23045205321058E-8	9.1124812027662E-9	7.1552961547664E-10	2.3798572732292E-7	-8.3315723311052E-5	1.73108756258928E-13	0.23106861689974	
14.0	3.4680607104942E-9	1.224168667927E-8	9.1059709803756E-9	7.0539179987986E-10	2.3801300280598E-7	-8.3133800581082E-5	1.73108620011692E-13	0.2310687987443	
14.2	3.4258310597944E-9	1.21330945814982E-8	9.151145686671E-9	6.8948833617258E-10	2.3783579080142E-7	-8.2915084315682E-5	1.73108456363726E-13	0.23106901716168	
14.48	3.3674488219896E-9	1.19758899975642E-8	9.0836577294646E-9	6.6803683718856E-10	2.3738144158154E-7	-8.2723293692032E-5	1.73108313237226E-13	0.2310692081933	
14.872	3.2858643767982E-9	1.17425438124724E-8	9.0572877335854E-9	6.3938713172838E-10	2.36257773775E-7	-8.263299701277E-5	1.73108246709344E-13	0.23106929699618	
15.0	3.2596023553864E-9	1.16646572564458E-8	9.0551236284286E-9	6.3043933550748E-10	2.3579332581428E-7	-8.2639130332796E-5	1.73108251741982E-13	0.23106929028314	
15.2	3.2190766874152E-9	1.15419594694696E-8	9.1052360589686E-9	6.1688392874454E-10	2.3497924199778E-7	-8.2681559028264E-5	1.73108284241406E-13	0.23106924691362	
15.48	3.1636344345554E-9	1.13695391807826E-8	9.0439747960444E-9	5.9881310541202E-10	2.3368125540634E-7	-8.2803293144526E-5	1.73108376661076E-13	0.23106912357428	
15.872	3.088985646916E-9	1.11298439539916E-8	9.02275807361E-9	5.7532029938048E-10	2.3160711027688E-7	-8.3077586889168E-5	1.73108584011054E-13	0.23106884684728	
16.0	3.065395601925E-9	1.10525235076036E-8	9.021745383481E-9	5.680860188265E-10	2.3087924118496E-7	-8.3188417082234E-5	1.7310866768215E-13	0.23106873518006	
16.2	3.0284616264768E-9	1.09295995794112E-8	9.071796700866E-9	5.5704279677676E-10	2.2963584029986E-7	-8.3384262497652E-5	1.73108815449118E-13	0.2310685379704	
16.48	2.9798440773474E-9	1.0765581735914E-8	9.0119972741546E-9	5.426989155764E-10	2.2790434738696E-7	-8.3700471963694E-5	1.73109053893398E-13	0.23106821974266	
16.872	2.9148487527096E-9	1.0542146849806E-8	8.9922977690074E-9	5.2418622709762E-10	2.253434021805E-7	-8.4212245614952E-5	1.73109439523208E-13	0.23106770508144	
17.0	2.8943356894826E-9	1.04707552765678E-8	8.9917010006394E-9	5.1849530200028E-10	2.244802597259E-7	-8.439365834719E-5	1.73109576174264E-13	0.2310675227074	
17.2	2.8629140394974E-9	1.03605772789058E-8	9.0409851243152E-9	5.0992958723262E-10	2.2310155787222E-7	-8.4692561869364E-5	1.7310980124872E-13	0.23106722232432	
17.48	2.8204418538856E-9	1.02102009007922E-8	8.9821961217222E-9	4.9861970831474E-10	2.2113438331596E-7	-8.5142621729528E-5	1.73110140146816E-13	0.23106677003438	
17.872	2.7635233112938E-9	1.00063007789104E-8	8.9640079832652E-9	4.8397349670546E-10	2.1830510168816E-7	-8.5828579453718E-5	1.73110656473236E-13	0.2310660809538	
18.0	2.7455054033352E-9	9.9412661372654E-9	8.9639137332164E-9	4.7945381822792E-10	2.1736651142704E-7	-8.606394149891E-5	1.73110833599148E-13	0.23106584456556	
18.2	2.7171636211624E-9	9.838387174479E-9	9.0126966315282E-9	4.7250900129534E-10	2.1583079017546E-7	-8.6446660644258E-5	1.7311112158953E-13	0.23106546022136	
18.48	2.6797850378686E-9	9.7019368949602E-9	8.955104717862E-9	4.6347854967938E-10	2.1373841044956E-7	-8.7010980200226E-5	1.731115461861E-13	0.23106489356904	
18.872	2.6292889161538E-9	9.5165157898906E-9	8.9388974065224E-9	4.5168098521076E-10	2.10761230572E-7	-8.7849783352884E-5	1.73112177140106E-13	0.2310640515249	
19.0	2.6131913295268E-9	9.4571869079698E-9	8.9394837670566E-9	4.4801017302284E-10	2.097794839122E-7	-8.813354928785E-5	1.73112390565054E-13	0.23106376669876	
19.2	2.587765822874E-9	9.3632071640446E-9	8.988314308817E-9	4.4233120096354E-10	2.0818581260046E-7	-8.8591107059048E-5	1.7311273467337E-13	0.23106330747114	
19.48	2.5540122238094E-9	9.2380276377984E-9	8.9324044906436E-9	4.348951754715E-10	2.0601225952668E-7	-8.9259173569298E-5	1.73113237067062E-13	0.2310626370089	
19.872	2.508013085845E-9	9.0670378755404E-9	8.9187477000842E-9	4.250597471518E-10	2.0293324243882E-7	-9.0242807191614E-5	1.73113976621378E-13	0.2310616500559	
20.0	2.4932535280338E-9	9.0120970166638E-9	8.9201785910994E-9	4.2196976363792E-10	2.0192051586962E-7	-9.0573633765788E-5	1.73114225333962E-13	0.23106131814532	
