# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
26.872	-1.1886689172945e-37	3.9550730600745e-07	1.9453635424394e-05	7.7919364250527e-06	1.6747045258513e-06	3.0084038975391e-06	2.1293514043498e-56	0.50439839359993
27	-8.6177233763966e-38	2.0995174217722e-07	1.2595224128523e-05	5.1450541802778e-06	1.6213182630385e-06	1.6368172288675e-06	1.4964617942186e-56	0.50431446921029
27.2	-1.2992922044147e-36	1.073947144272e-05	0.00019182003651121	8.0248794603207e-05	1.5354831458227e-06	6.8232289253098e-05	8.6361742853574e-57	0.50495731879046
27.48	-1.3419072779172e-36	2.8784394312043e-06	7.7980485557981e-05	3.1191058292498e-05	1.4308003340246e-06	1.9214654966824e-05	4.071463810654e-57	0.50438228497702
27.872	2.379919443917e-37	4.7816213991445e-07	2.2482901348269e-05	8.797401767848e-06	1.2970567691022e-06	3.4163466464349e-06	1.4581424872089e-57	0.50399117148831
28	8.8844647589974e-38	2.5400210384894e-07	1.4567283496789e-05	5.7525227351917e-06	1.2562342066436e-06	1.8599967405054e-06	1.0252321526791e-57	0.50390764913409
28.2	-5.9545995826365e-37	1.1143964602094e-05	0.00019654888121258	8.1931036322867e-05	1.1905021947198e-06	6.8866182344146e-05	5.9220102969532e-58	0.50444490837625
28.48	7.2348663467193e-37	2.990932722709e-06	8.0007725469318e-05	3.1839083792899e-05	1.1103339167361e-06	1.9418677700846e-05	2.7948372814478e-58	0.50393599362765
28.872	1.4431876607274e-37	4.9778163988637e-07	2.3104142415166e-05	8.9298343543547e-06	1.0077853671423e-06	3.4588310115231e-06	1.0022517592597e-58	0.50357511652804
29	6.9595845067671e-38	2.6460305312292e-07	1.4978041684812e-05	5.811288891595e-06	9.7645584692914e-07	1.8843545710795e-06	7.0502578546968e-59	0.50349566689128
29.2	-1.2571359118028e-36	1.1965455446563e-05	0.00021110902364054	8.7703252596093e-05	9.2580145912462e-07	7.3010995885698e-05	4.0751735217122e-59	0.50403139136853
29.48	-1.5240487079465e-36	3.2157861423132e-06	8.6016872292007e-05	3.4076306098309e-05	8.6418902311727e-07	2.061446853184e-05	1.9250825426124e-59	0.50353100623928
29.872	1.0782350565891e-37	5.3620930044849e-07	2.4871748336114e-05	9.5106119859888e-06	7.8529067810065e-07	3.6784363116666e-06	6.9125242340671e-60	0.50317112676993
30	4.2289456010462e-38	2.8522304348469e-07	1.6131661907109e-05	6.1633681191284e-06	7.6116538348658e-07	2.0053028137161e-06	4.8648531430049e-60	0.50309148408311
30.2	-6.086289233076e-37	1.3337216300575e-05	0.00023673942317123	9.8031757526963e-05	7.2189755638689e-07	8.0814699664396e-05	2.8133059540353e-60	0.50369671099921
30.48	-1.5688638210722e-36	3.5893394071892e-06	9.6538303610505e-05	3.809250902747e-05	6.7439124472281e-07	2.2847874231261e-05	1.3301372700091e-60	0.50315887416634
30.872	3.2475231984216e-37	5.9962476785548e-07	2.7946990053089e-05	1.0592372266334e-05	6.1349845525097e-07	4.0843359352942e-06	4.7823929275284e-61	0.50277648369923
31	1.0598856863864e-37	3.1917224921523e-07	1.8134373317074e-05	6.8416149011348e-06	5.9486325422861e-07	2.2280380823582e-06	3.3672998972955e-61	0.50269323669974
