# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
18	-0.007070451188151	2.043934203055e-39	4.9553550955675e-47	3.3136329848072e-21	1.3992006470868e-19	4.786554035378e-22	3.1510491886117e-06	0.010947440579603
18.2	0.094272207172852	2.0109205471588e-39	2.8417427994664e-47	3.8006098874809e-21	1.590751982764e-19	5.4372642041193e-22	3.0181836243423e-06	0.010941862723065
18.48	-0.007078301735026	8.0900362772108e-39	1.3274960132714e-47	3.9129645960825e-21	1.5350431311418e-19	5.6163082600313e-22	2.8489870649118e-06	0.010960387328659
18.872	-0.0070898301855469	1.2584461282214e-37	4.692328877985e-48	3.0584007130031e-21	1.2967600471702e-19	4.3022968392501e-22	2.6281697542959e-06	0.010979392147037
19	-0.007092851780599	5.8827859039413e-38	3.2839406811315e-48	2.7913487083771e-21	1.2204158492921e-19	3.8971276458991e-22	2.5597715401303e-06	0.010984385306673
19.2	0.090696930620117	1.7223226635545e-38	1.8864715109432e-48	3.199132186286e-21	1.3719932556453e-19	4.4331751414815e-22	2.4516760949913e-06	0.010975111328886
19.48	-0.0070951998095703	5.0066733422589e-40	8.8302115334168e-49	3.2620058066136e-21	1.3138806476506e-19	4.541850834772e-22	2.3141284266278e-06	0.010988403356928
19.872	-0.0071031483984375	8.7480314199499e-40	3.1287105079116e-49	2.5660255093769e-21	1.1101716932551e-19	3.5094914432429e-22	2.1346131892651e-06	0.01100158896767
20	-0.0071051868782552	1.7169470166954e-39	2.1913630561357e-49	2.3478535891808e-21	1.0453253719413e-19	3.189413533057e-22	2.0790063986253e-06	0.011004979041103
20.2	0.091834408572591	1.0587417138163e-39	1.2602171553226e-49	2.7283585140463e-21	1.181396296739e-19	3.6889149766074e-22	1.9908817629215e-06	0.010993222319846
20.48	-0.0071044014192708	5.2140835150067e-40	5.9074443549425e-50	2.8690055520984e-21	1.139336102692e-19	3.923433280829e-22	1.8790606522772e-06	0.01100391582772
20.872	-0.007110565	2.2404697022156e-39	2.097021529231e-50	2.3118357117605e-21	9.7172878830117e-20	3.1162198291065e-22	1.7331421770906e-06	0.011014190276491
