# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
33.48	6.3288669565648e-67	0.15184010482757	0.21685285596418	0.35396657235694	0.21377896583787	0.77596206100814	0.11297433707209	0.12555598193457	0.0020740076845161	1.9530048866859
33.872	2.2859645721503e-67	0.15179071023403	0.21678231314239	0.35385143171489	0.21373514886092	0.77570963515706	0.11293758573483	0.12551514005264	0.0020733794037263	1.9523953443005
34	1.6121698651066e-67	0.15177458486611	0.21675928351135	0.3538138415387	0.21372084165707	0.77562722817334	0.11292558788739	0.12550180637202	0.0020731773995858	1.9521963514056
34.2	9.354950201896e-68	0.15174939240732	0.21672330694937	0.35375512465152	0.21369849447342	0.77549848478777	0.1129068438025	0.12548097828208	0.0020728384677421	1.9518854638217
34.48	4.4436700047243e-68	0.15171412998817	0.21667294914094	0.35367293682128	0.21366721072943	0.77531827994907	0.11288060731058	0.12545182469493	0.0020723634012917	1.9514503020357
34.872	1.6071159619668e-68	0.15166477636399	0.21660246483274	0.35355789160661	0.21362340925507	0.77506606352496	0.11284388646434	0.12541101666826	0.0020717339316793	1.9508412426477
35	1.1339437392524e-68	0.15164866437115	0.2165794543068	0.35352033260084	0.21360910715763	0.7749837249108	0.11283189857101	0.12539769404549	0.0020715315408478	1.9506424075046
35.2	6.5879215060736e-69	0.15162349280828	0.21654350710959	0.35346166233117	0.21358676557288	0.77485508833805	0.11281317003727	0.12537688259905	0.0020711978237468	1.95033176662
35.48	3.1329452447682e-69	0.15158825963804	0.21649319052472	0.35337953974513	0.21355548944248	0.77467503300754	0.11278695531264	0.12534775228061	0.0020707300149464	1.9498969499661
35.872	1.1345530747855e-69	0.15153894695166	0.21642276451445	0.3532645886191	0.21351170188338	0.77442302583662	0.11275026493212	0.12530697766474	0.0020701016060366	1.9492883720081
36	8.0089035778364e-70	0.15152284832356	0.21639977306133	0.35322706058485	0.21349740467162	0.77434075553529	0.11273828698462	0.12529366603132	0.0020698986400178	1.9490896938326
36.2	4.6561809514687e-70	0.15149769764041	0.2163638556085	0.35316843852333	0.21347507039914	0.77421222568681	0.11271957398915	0.12527287170219	0.0020695645862594	1.9487792981358
36.48	2.2164075658994e-70	0.15146249369628	0.21631358068742	0.35308638354624	0.21344380462463	0.77403231974052	0.11269338101376	0.12524376538419	0.002069096010798	1.9483448247038
36.872	8.0367947545833e-71	0.15141322191564	0.21624321307995	0.35297152754386	0.21340003237587	0.77378052164919	0.11265672107368	0.12520302451634	0.0020684652127093	1.9477367273672
37	5.6758869808996e-71	0.15139713664176	0.21622024069895	0.35293403060902	0.21338574024663	0.77369831960402	0.11264475306378	0.12518972391524	0.0020682614227276	1.9475382062021
37.2	3.3037975063426e-71	0.15137200682186	0.21618435264025	0.35287545539372	0.21336341201284	0.77356989639121	0.11262605559367	0.12516894629226	0.0020679309339366	1.9472280560798
37.48	1.5744724866796e-71	0.15133683208073	0.21613411896417	0.35279346599338	0.2133321545534	0.77339013970515	0.11259988434946	0.12513986333945	0.0020674674301139	1.9467939264158
37.872	5.7165447772487e-72	0.15128760117335	0.21606380958658	0.35267870412522	0.21328839660283	0.77313855051993	0.11256325482457	0.12509915589184	0.0020668363993981	1.9461863091237
38	4.0391310727062e-72	0.15127152924307	0.21604085624961	0.35264123813869	0.21327410941984	0.77305641667429	0.11255129674402	0.12508586627109	0.002066631819623	1.9459879445602
38.2	2.353278862304e-72	0.15124642026981	0.21600499776074	0.35258271052208	0.2132517880639	0.77292810000871	0.1125326147864	0.12506510557617	0.0020663021843465	1.9456780391721
38.48	1.1226676424319e-72	0.15121127470835	0.21595480553255	0.35250078784831	0.21322054028702	0.77274849245907	0.11250646525535	0.1250360463427	0.0020658397063352	1.9452442521397
