# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
23.2	6.9963563091303	0	0.0081787249353508	0.16552074698511	0.42585585195487	0.12220477315486	0.00036025444462142	1.7503525799992e-05	0.22541732095852	0.12979502945737	0.22064328329792	0.79682942155758	0.12066127506901	0.0027085839164985	9.2145490783878
23.48	6.996410248707	0	0.0080876363435125	0.16553035489151	0.42585899431559	0.12218180768846	0.00035550851788882	1.7149881551073e-05	0.22537529240293	0.12973890120648	0.22054360263758	0.79648289806929	0.1206078301657	0.002760022169229	9.2139502469967
23.872	6.9964847500244	0	0.0079618165143456	0.1655360345956	0.42585350445704	0.12214874910722	0.00034908873528394	1.6674083156562e-05	0.22531464746502	0.12966027453339	0.2204040576977	0.79599752631497	0.12053298476572	0.0028339125458221	9.2130940208396
24	6.9965045087604	0	0.0079278373294566	0.16553642946314	0.42584687987333	0.12213697196872	0.00034454739226523	1.6432228762352e-05	0.22529292687449	0.12963443405533	0.22035828761532	0.79583894962237	0.12050854172709	0.0028619217821908	9.2128086686929
24.2	6.9965512758689	0	0.011904284931978	0.1655336101427	0.42584869265305	0.12212290887178	0.00034823840908513	1.6313789219715e-05	0.22526745953585	0.12959484835453	0.22028803095022	0.7955909983896	0.12047032817002	0.0028800087049598	9.2164169987719
24.48	6.9966481706338	0	0.017418079355012	0.16552402163148	0.42586179660177	0.12210730819471	0.0003737464406201	1.7048603219619e-05	0.22523985397497	0.12954059464877	0.22019104713146	0.79524458444568	0.12041688678572	0.0028862903846889	9.2214694288319
24.872	6.9968446746263	0	0.025034223909472	0.16550189606467	0.42588649182253	0.12208795028256	0.00044432271222669	1.9799086892159e-05	0.22520615640655	0.12946616826587	0.22005653230081	0.79476390265153	0.12034250087883	0.0028903928256098	9.2285450118339
25	6.9969239883812	0	0.027495472275801	0.16549285649784	0.42589572500369	0.12208186013854	0.00047478972828949	2.1062077842136e-05	0.22519561643173	0.12944220937427	0.22001287301449	0.79460881947939	0.12031841120001	0.0028918544929771	9.2308555380961
25.2	6.9970534230092	0	0.027276388674194	0.16547754121274	0.42590166765414	0.1220695471966	0.0005226093478631	2.3235458034895e-05	0.22517359918785	0.12940458859467	0.21994408448777	0.79436867393597	0.12028100165125	0.0029121853827139	9.230408545793
25.48	6.9972328899289	0	0.026972604086869	0.16545364476748	0.42589470718418	0.12204748631308	0.00058196103186555	2.6016835812454e-05	0.22513325049859	0.12935141282689	0.21984690101773	0.79403675344989	0.120229116168	0.0029656070699855	9.2297723511793
25.872	6.9974807842162	0	0.026552989078245	0.16541459541117	0.4258751828056	0.12201333157293	0.00065188691076107	2.9225335160914e-05	0.22507035142499	0.12927693003781	0.21971088683772	0.79357937844027	0.1201573267233	0.0030456881784775	9.2288585569726
26	6.9975608934989	0	0.026417386111117	0.16540054725922	0.4258681845374	0.12200191191115	0.00067187051150683	3.01337037271e-05	0.22504928652511	0.12925271848682	0.21966661722856	0.79343156826571	0.12013406468497	0.0030699757116278	9.2285551584358
26.2	6.9976852472489	0	0.026206892768785	0.1653771518119	0.42585705776236	0.12198395848152	0.00070045401611001	3.1421794571348e-05	0.22501615276894	0.1292150408854	0.21959762256647	0.79320202699835	0.1200978831042	0.0031056254086883	9.2280765356162
26.48	6.9978576825311	0	0.025915019641449	0.16534147348489	0.42584108992681	0.12195871564605	0.00073551385002392	3.2983589366906e-05	0.22496954294623	0.12916265372585	0.21950139868252	0.79288326733011	0.12004753336437	0.0031512731924106	9.2273981479112
26.872	6.9980958755147	0	0.025511857941999	0.16528644681145	0.42581874252992	0.12192328673756	0.0007760129126863	3.4769328704538e-05	0.22490409412609	0.1290900484615	0.21936735653147	0.79244137832073	0.11997755750761	0.0032069345465864	9.226434361271
27	6.9981728513792	0	0.025381571935837	0.16526741672991	0.42581148576196	0.12191170925041	0.00078738171138244	3.5268841945656e-05	0.22488270132999	0.12906651191567	0.21932373311843	0.79229799532752	0.11995481533959	0.0032232137840067	9.2261166564259
