# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
19	2.4545186542424	0	0.1558958505783	6.1653552482645	0.025674634567828	2.0422210818269	1.2509663893571	1.6464566809083	0.31325299036772	0.13809926320711	0.069993183203729	1.239364587711	0.14197626339323	3.5658923292336
19.2	2.4287608882169	0	0.15360185511798	6.1172965206875	0.025246902706087	2.0279297666048	1.2380425496255	1.6333377528449	0.30940107702222	0.13641588846841	0.068564150027425	1.2266145156927	0.13981211260537	3.5142202730164
19.48	2.3918436511808	0	0.1505627466705	6.0575118526418	0.024711629424727	2.0101323649401	1.2206388048308	1.6151468600782	0.30448955646504	0.1342681954466	0.066700081535205	1.2093225935859	0.13702136919157	3.4425262899069
19.872	2.3424903979668	0	0.1466105942701	5.9781091412131	0.024042107649722	1.9864294174894	1.197306717725	1.5900199505071	0.29826890951746	0.13149969404975	0.064328832037143	1.1861090808591	0.13341428291742	3.3413139943923
20	2.3271210284197	0	0.14538668713875	5.9528198871406	0.023836206012468	1.9788581201438	1.1897778732308	1.5818999132891	0.29633919356114	0.13062912385199	0.063606669214861	1.1787529887958	0.13228448652998	3.3077967908268
20.2	2.2978735298419	0	0.14353650975061	5.8986343910331	0.023497667878946	1.9625696451491	1.1783928687006	1.5692953699485	0.29306345535254	0.12919712712127	0.062526815275231	1.1674700441717	0.13054977891571	3.2467387047543
20.48	2.2562118586466	0	0.14106426916686	5.8308305552897	0.023071550517891	1.9421423898837	1.1629763928914	1.5518177299959	0.28886627316374	0.12736111509677	0.061106715953651	1.152079801074	0.12829621596089	3.1620269759524
20.872	2.2003290702803	0	0.13781099918159	5.7406449152166	0.022532190785835	1.9148713668827	1.1421440553762	1.5276760290266	0.28349947391087	0.124970180816	0.059279026204949	1.1312631232573	0.12534770191172	3.0434751704597
21	2.1829712313505	0	0.13679470565154	5.7119466760259	0.022364408439537	1.906164093671	1.1353576363367	1.5198743732639	0.28181846906599	0.12421095640258	0.058717412358907	1.1246317469305	0.12441286773872	3.0045099128924
21.2	2.1499006518291	0	0.13524979961361	5.6508168187575	0.022086294782173	1.8875623649692	1.1250933866601	1.5077640457989	0.27894395218592	0.12295470555252	0.057872690059842	1.1144272904512	0.12297199627784	2.9340078254646
21.48	2.103236513559	0	0.13316893210261	5.5742900288821	0.021734138394769	1.8642016542246	1.1111318519512	1.4909716923037	0.2752427071045	0.1213365246902	0.056752184645686	1.1004452488163	0.12108667161707	2.8365422580476
21.872	2.0408518885509	0	0.13040093529583	5.473004832666	0.021283019785436	1.8331483012808	1.0921458313906	1.4677765704419	0.27046626926623	0.11920970367557	0.05529248844019	1.0814224866378	0.11859140395096	2.7018025162316
22	2.0215765566683	0	0.12952946877958	5.4409362172561	0.021141131984595	1.8232807583365	1.085912243976	1.4602808124863	0.26895708924712	0.11852862900121	0.054839859614535	1.0753380510158	0.11779131674548	2.6580030976614
22.2	1.9849142055603	0	0.12819819255521	5.3729240309102	0.020904240368372	1.8023174630251	1.0764865578117	1.4486453228606	0.2663616603585	0.11739685891069	0.054155049232632	1.0659520356198	0.11655429777461	2.5792211000903
22.48	1.9338486693565	0	0.12639255436646	5.2883098222365	0.020602461069337	1.7761357944841	1.0636189167025	1.4325113860502	0.26300320178697	0.11593237783354	0.053238889503948	1.0530474782204	0.11492473877007	2.4711407479801
22.872	1.8662991534642	0	0.12396834310017	5.1776711604848	0.020211418756472	1.7417404404223	1.0460342479914	1.4102257285723	0.25863180386264	0.11399180021331	0.052031311790935	1.0354135838659	0.11274582117566	2.3242324627424
23	1.8455998775619	0	0.12320008646204	5.1429713614278	0.02008724210267	1.7309136291202	1.0402288108303	1.4030238742788	0.25724079435379	0.1133662923483	0.051653623230359	1.029756416195	0.11204068826504	2.2771959965418
23.2	1.8063541715781	0	0.12202166672661	5.0694650587747	0.019878869978526	1.7079662078221	1.0314503735956	1.3918446043208	0.25484131315367	0.11232475136696	0.051079048988432	1.0210135393599	0.11094789025819	2.192991685398
23.48	1.7525947757603	0	0.12041417541395	4.97923796533	0.019611766344508	1.6796770266493	1.0194303498397	1.3763432681018	0.25172081558157	0.11097061298487	0.050304307276408	1.0089630320529	0.10949917129893	2.0788573402025
23.872	1.6827363397233	0	0.11823973291876	4.8635339654414	0.019262040487946	1.6432275729915	1.0029429451497	1.3549314157988	0.24762809889406	0.10916368211549	0.049272245609915	0.99244342435634	0.10754539234758	1.9271021115298
24	1.6840589084347	0	0.11670153608984	4.9649686197801	0.019791767496412	1.6761143633196	0.99141362718553	1.3491488830054	0.25083690687406	0.1166950676174	0.048600319501321	0.97995794232716	0.10638089553311	1.8735380910517
24.2	1.8218691580535	0	0.11795171920625	5.8567442646698	0.024462077502981	1.9609457138786	0.9920334545027	2.0258554825894	0.31794460647874	0.17897990183381	0.049052875332069	0.99139196085807	0.10585099034055	1.7387956722608
24.48	1.888579539018	0	0.12659153633907	6.3217984219408	0.027406722971049	2.1075717345835	1.0508454083514	2.9641857330497	0.38037784032472	0.21795610000004	0.052519640033433	1.0657466608108	0.1107244383542	1.5959519282745
24.872	1.9211495099517	0	0.15049640252839	6.5017079311596	0.030423347823385	2.1639028748689	1.2376070164374	4.2602911513936	0.44278660319571	0.24617371475816	0.062229547214585	1.2698511080717	0.128672219425	1.4357035167017
25	1.9313200505581	0	0.16081587571096	6.5281549161162	0.031595201629937	2.1721611167101	1.3202811446912	4.6791431467409	0.46196241717817	0.25459707520265	0.066433973533524	1.3577853063308	0.13689580410644	1.3894325285771
25.2	1.753840825208	0	0.17701284363105	5.5164748773964	0.028489024790562	1.853568210385	1.4610596750606	4.6418597888578	0.42231392227046	0.20112215701321	0.073036071131733	1.4957611742474	0.15140495971359	1.3490053672665
25.48	1.6525568674128	0	0.19711583337382	4.9405056091278	0.028793392750109	1.6696938764191	1.6404162658842	4.5901621291265	0.40303741324356	0.18100979529434	0.08122936600914	1.66702401423	0.17063532120974	1.272012940556
25.872	1.6156939430138	0	0.22080040525778	4.7030373839751	0.031873312262289	1.5936692723513	1.8512724962122	4.5187526013258	0.41297642987225	0.18836372043827	0.090880554900853	1.8688245847268	0.19345965064863	1.1596032419743
26	1.6131499156672	0	0.22756904422005	4.6739190709625	0.032996237484048	1.5844208643743	1.9118839224005	4.4956758675294	0.42051994917329	0.19332278179032	0.093638230005718	1.9265020998621	0.20000935493565	1.1248649053744
26.2	1.6101903008498	0	0.23725055384371	4.651726994516	0.034734838034331	1.5774829654681	1.9980974657565	4.4598543886208	0.43519919670224	0.20193657001398	0.097582173030508	2.0090077893842	0.20936533418803	1.0620600725077
26.48	1.6079104736187	0	0.24912565887907	4.6354123767035	0.036966975087031	1.5725466182339	2.1038344260972	4.4101838054138	0.45781168898901	0.21381193063251	0.10241871507596	2.1102210568173	0.2208137999452	0.98262134469323
26.872	1.6083048880389	0	0.26284308332923	4.6244549937182	0.039622122604126	1.5694071494856	2.2261666670887	4.3415742800314	0.48907837712406	0.22850202927674	0.10800363957389	2.2271637011002	0.23405891644384	0.88732626087661
27	1.6087108898733	0	0.26669380546825	4.6221165716054	0.040378465193648	1.5687630226619	2.2606828756516	4.3194023796277	0.49864100236196	0.23273994661387	0.10957091662952	2.2599985606241	0.23779467463567	0.85982999625718
27.2	1.6030458968667	0	0.27212843158021	4.5931314708085	0.041476054391789	1.5596931857559	2.3093500214227	4.2849854561424	0.51294208064704	0.23881477787411	0.11178230954029	2.3063467837793	0.24310395085755	0.81164854833673
27.48	1.5965743226896	0	0.2786451753709	4.5724093581536	0.042796871408536	1.5532482187287	2.3678306290052	4.237262455742	0.53098585827439	0.24621180754566	0.11443289592533	2.3619391722981	0.24946058916084	0.75165604203771
27.872	1.5903983870445	0	0.28588051899582	4.5548867963953	0.04428154397467	1.5478311275085	2.4330065268331	4.1713431194349	0.55221557147843	0.25458458177401	0.11737349926185	2.4236928291833	0.25655247174182	0.68111818363695
28	1.5885533478848	0	0.2878358031922	4.5501096262932	0.044689001514418	1.5463526096762	2.4507158268118	4.1500405723517	0.55819553146935	0.25688655554845	0.11816755965932	2.4403895699384	0.25848196210523	0.66103140233575
28.2	1.581618648585	0	0.29051399421488	4.5276836906803	0.045270843854201	1.5392515710412	2.4750356463142	4.1169731277349	0.56684015009931	0.26013000830877	0.11925451941316	2.4632687760521	0.2611537144571	0.62543872158852
28.48	1.572388691305	0	0.29355746666986	4.5074063494831	0.045941471267622	1.5328309762514	2.502856277921	4.0711213372079	0.57710221247959	0.26389162397571	0.12048828335416	2.4892884034507	0.26420617270441	0.58168267530354
28.872	1.5618980084273	0	0.29659984722535	4.4859110728333	0.046642393727782	1.5260155050954	2.5310216190166	4.0077866917756	0.58823259293173	0.2678327853791	0.12171854341919	2.5153407849314	0.26731372906597	0.53087182723384
29	1.5586484406439	0	0.29733121123984	4.4795754390848	0.046821081732403	1.5240023289209	2.5378954939765	3.9873194092162	0.5911638029208	0.2688364982482	0.12201337109051	2.5216161779219	0.26807792045798	0.51650945025305
29.2	1.5514944104699	0	0.2982317385776	4.4634151842812	0.047061820168921	1.5188424310703	2.5465040781624	3.9555485273919	0.59528593786426	0.27017640166109	0.12237524268491	2.5293588602324	0.26904712993309	0.49087208516691
29.48	1.5411076977891	0	0.29903969559518	4.4448297673869	0.047308665489788	1.5128975826401	2.5545699509135	3.9114945712101	0.59975740104464	0.27154847570466	0.12269719538078	2.5363430264463	0.26997020289229	0.45963104270524
29.872	1.5285162817925	0	0.2993918226243	4.4220217521605	0.047503648789548	1.5055844933111	2.5589638372337	3.8506432610824	0.60381368883731	0.27261892483207	0.12283022376727	2.5394870731423	0.2705179937809	0.42362037210186
30	1.5245574298092	0	0.29934000834445	4.4150204434903	0.047535378979404	1.5033355578972	2.558907027095	3.8309784915098	0.6046704211371	0.27278721515361	0.12280564266247	2.539093271106	0.27053634109379	0.41348080491174
