# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
13.872	9.8913560813802	0.0025651634432963	0.00097315487327523	0.00075292599423402	0.0039949007523819	0.00022770549459189	0.13591956285031	0.034953560413183
14	9.8921290170356	0.0025300541762606	0.00095671118746102	0.00073427040780286	0.0039332158454251	0.00022192248216631	0.13489576014059	0.034849736208768
14.2	9.8933267613932	0.0024765845783536	0.00093178942322491	0.00070644678950288	0.0038389275561568	0.00021326285685954	0.1333479709941	0.034681146181907
14.48	9.8949743836806	0.0024045773423214	0.00089850883661515	0.00067011564828723	0.003711515650325	0.0002019017872339	0.13123054132035	0.034432717229208
14.872	9.8972381088325	0.0023089710357611	0.00085501891792655	0.00062400253730203	0.0035425675840283	0.00018743087538598	0.12821838069052	0.034059608367386
15	9.8979691323785	0.0022789315331139	0.00084155058000238	0.00060999885737918	0.0034897593840629	0.00018303690652596	0.12718647277161	0.033931516632181
15.2	9.8991047440321	0.0022333362165176	0.00082121988710598	0.00058917511201112	0.0034095972748819	0.00017648970019675	0.12551303201433	0.033724862483446
15.48	9.9006755366753	0.0021719053084048	0.00079417659798645	0.00056201740253245	0.0033021617183352	0.00016794740074188	0.12301182394709	0.033421430861307
15.872	9.9028626851128	0.0020899666505987	0.00075888133375932	0.00052747641234151	0.0031607671443705	0.00015711105161924	0.11912371093871	0.032965084152544
16	9.9035778075087	0.0020640330710165	0.00074792871665896	0.00051693429849353	0.003116684718153	0.00015382139523162	0.11774344965622	0.03280820491507
16.2	9.9046953971354	0.0020246348934003	0.00073136324258063	0.00050123602279282	0.0030498280599105	0.00014891727834225	0.11547284598583	0.032554643963759
16.48	9.9062582685547	0.001971316717638	0.00070925102817123	0.00048068103646494	0.0029602423178888	0.00014250884707987	0.1120528488367	0.032181407290297
16.872	9.9084653532986	0.001899720029481	0.00068020403061048	0.00045434659638275	0.0028421151016038	0.00013434628702843	0.1067865916781	0.031619636888314
17	9.9091933020833	0.0018769048889909	0.00067113846216249	0.00044624944901642	0.0028051829523802	0.00013185732811487	0.10495328980148	0.031427247944499
17.2	9.9103352124566	0.001842219550287	0.00065737462123355	0.00043415672632189	0.002749049828267	0.00012813506679958	0.10198023109262	0.031116800362899
17.48	9.9119433076172	0.001795126426864	0.00063890435350422	0.00041823377531072	0.002673577950153	0.00012324754872842	0.097609702664766	0.030661491040295
17.872	9.9142283815104	0.0017316625723209	0.00061446389552286	0.00039766428382409	0.0025735388081057	0.00011697594225728	0.091133939529722	0.02998207047615
18	9.9149829116753	0.0017113689242118	0.00060679667467635	0.00039129494399684	0.0025421360990181	0.00011505223470705	0.088949217032463	0.029751853045328
18.2	9.9161670608724	0.0016805466157436	0.00059511983133058	0.0003817562497518	0.0024942848524046	0.00011216411108852	0.085476541815105	0.029382434557782
18.48	9.9178353069661	0.0016386812218528	0.0005793904380691	0.0003691332903782	0.0024297307762897	0.0001083513250107	0.080521415248379	0.028845738365868
18.872	9.9201989968533	0.001582286692361	0.00055848230398656	0.00035271538714963	0.0023438021345498	0.00010342214067574	0.073483268777238	0.028057706313321
19	9.9209750723741	0.0015642522202022	0.00055190526224057	0.00034760479088792	0.0023167573361433	0.00010190203236628	0.071182765696899	0.027794713199127
19.2	9.9221899669054	0.0015369238766712	0.00054187456157806	0.00033993652479368	0.0022754853902564	9.9612123118038e-05	0.067599325447048	0.027376332151618
19.48	9.9238914663628	0.0014998737561404	0.00052834423988978	0.00032975355037463	0.0022197171629039	9.6575582378628e-05	0.062635094485507	0.026777004492688
19.872	9.926276054579	0.0014501087390408	0.00051033604069466	0.00031644690565574	0.0021453654176168	9.2626723852353e-05	0.055868689080007	0.025916449401277
20	9.9270506120877	0.0014342229341797	0.00050466778597108	0.0003122905064387	0.0021219462419706	9.1403896985737e-05	0.053722542632932	0.025634503154983
20.2	9.9282568177083	0.0014102090178066	0.00049602217697626	0.00030604602542139	0.0020861972105964	8.9557161564145e-05	0.050444060210379	0.025191089826954
20.48	9.9299273532986	0.0013777334988189	0.00048436297467334	0.000297734359302	0.0020378901921858	8.7100237039054e-05	0.046028827003548	0.02456739688556
20.872	9.9322285496962	0.0013342308593514	0.00046884927841973	0.00028683304658054	0.0019734962299687	8.3890616091086e-05	0.040240286407155	0.023696195637711
21	9.9329657826606	0.0013203659143678	0.00046396598868222	0.00028341833363511	0.0019532143884891	8.2893279178786e-05	0.038454555413288	0.023416549943971
21.2	9.9341056111111	0.0012994334055075	0.00045651826165006	0.00027828051390138	0.0019222576842757	8.1383821041427e-05	0.035775380956888	0.022982768909761
21.48	9.9356614522569	0.0012711594624355	0.00044647545643646	0.00027142449953078	0.0018804336977344	7.9369509656214e-05	0.032258864039863	0.022385296527494
21.872	9.9377623888889	0.0012332904017702	0.00043310356017668	0.00026239080102492	0.0018246686268623	7.6725605978259e-05	0.027804500936149	0.021575123016698
22	9.9384263289931	0.0012212173595719	0.00042888944296757	0.00025955069967507	0.0018070917771522	7.5900783974035e-05	0.026462541387868	0.021320182799555
22.2	9.9394451987847	0.0012029790079125	0.00042245696384999	0.00025526683461131	0.0017802488979637	7.4649137362348e-05	0.024479404211043	0.020930232428978
22.48	9.9408164994575	0.0011783181591908	0.0004137703440794	0.00024952852147022	0.0017439445296182	7.2972266105139e-05	0.02193024778489	0.02040380024934
22.872	9.9426369185113	0.0011451934628249	0.00040216882175105	0.00024191902293965	0.0016954283423559	7.0757523348882e-05	0.018785327574876	0.019708201887043
23	9.9432065825738	0.0011346113031073	0.00039850226271685	0.00023951539332099	0.0016801014799064	7.006310049082e-05	0.017853865685012	0.019492630721855
23.2	9.9440760917969	0.0011185936009031	0.00039289493197606	0.00023587790293089	0.0016566575317329	6.9005832450397e-05	0.016491531607464	0.019166534192264
23.48	9.9452352126736	0.0010968838370708	0.00038530057209127	0.00023098308441282	0.0016248702502804	6.7582479138848e-05	0.01476354117644	0.018732648136564
23.872	9.9467589507378	0.0010676214518502	0.00037511387877904	0.00022445012165367	0.0015822254778704	6.5689512248575e-05	0.012663116425455	0.018168640728302
24	10.030030269965	0.0010514880048037	0.00038681872565756	0.00022126302959654	0.0015823151495986	6.6261192832575e-05	0.012039938856657	0.018368014321448
24.2	10.02233925944	0.0010483201093449	0.000559944936251	0.00021936063025996	0.0019098347237271	7.913536970205e-05	0.011153915589208	0.022409694073731
24.48	10.015587468316	0.0011077302259098	0.00069963341419669	0.00022816114033588	0.002266410630423	8.9471821060479e-05	0.010074649798826	0.025528264263292
24.872	10.008585777778	0.0013041104455543	0.00081464734735498	0.00026369504695009	0.0026699664557642	0.0001001737685385	0.0088304185592	0.027562533905592
25	10.006346376845	0.0013916053443899	0.00084708545510796	0.00028031097749053	0.0027969391936964	0.00010404086075127	0.0084823284590351	0.027978014100605
25.2	9.9281102605252	0.0015383204495623	0.0007124815799014	0.00030939239611297	0.0026440441455216	9.6441819636328e-05	0.0079840468605289	0.02398314319675
25.48	9.930724008138	0.0017187598606493	0.00063585415584075	0.00034736983712769	0.0025505517831686	9.5873604809663e-05	0.0073599987756476	0.020899656187063
25.872	9.9303057062717	0.0019247703392027	0.00063332878797675	0.00039174386432559	0.0025777965807435	0.00010357262866472	0.0066193538878923	0.019149683731763
26	9.9297564424913	0.0019834409219273	0.00064339617698882	0.00040437908587611	0.0026098122861709	0.00010676312280107	0.0064064837004687	0.018885796702694
26.2	9.9287157314453	0.0020667425556144	0.0006646287893086	0.00042235138750654	0.0026763268329783	0.0001119280857231	0.0061009925571097	0.018661057787329
26.48	9.9271327947049	0.0021687561188302	0.00069847403530354	0.00044434974734942	0.0027897681339301	0.00011893032582233	0.0057233049621768	0.018562079589375
26.872	9.9250402265625	0.0022866188515006	0.00074439135077659	0.00046978046110653	0.0029621413269463	0.00012759844147321	0.0052776928111804	0.018603150202206
27	9.9244205210503	0.002319827707617	0.00075811606590924	0.00047694686582098	0.0030175406972761	0.00013010769403709	0.0051491867351022	0.01863293800753
27.2	9.9235312940538	0.0023666396318277	0.00077803468250048	0.00048706917152492	0.0031016187267854	0.00013370321682083	0.0049637154872271	0.018686509836692
27.48	9.9224423153212	0.0024228360125041	0.00080264146029375	0.00049924405231036	0.0032115958139605	0.00013809690878308	0.0047317136254437	0.018763927241669
27.872	9.9212173564453	0.0024852952269581	0.00083088098036195	0.00051282850210575	0.0033464104804323	0.00014310439364258	0.0044522637320057	0.018860576267961
28	9.9208847380642	0.0025022187967095	0.00083870794861867	0.00051652146718138	0.0033853616295373	0.00014448948475542	0.0043702969921873	0.018887632028941
28.2	9.920431227105	0.0025254077298535	0.00084962707813104	0.00052159948543864	0.0034411287425293	0.00014642093165827	0.0042505983973428	0.018925032478226
28.48	9.9199166359592	0.0025518046537082	0.00086243653130995	0.00052741448456436	0.0035089621998499	0.0001486878125302	0.0040982573799246	0.018967101514346
28.872	9.91941090625	0.0025782087016276	0.00087605375072417	0.00053330706118685	0.0035849562041468	0.00015110374711851	0.0039103637731276	0.019005986946976
29	9.9192923563368	0.0025845658600933	0.0008795668306439	0.00053474768729238	0.0036054824073839	0.00015172913855931	0.0038543197290025	0.019014069346855
