# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
28.2	0.001441902331557	116.64791881023	0.0005084109360181	0	0.058649257077104	1.0292433069761	1.4361240131169	3.7123969936469	1.0630855156704	0.0069169999192255	0.00030077734778868	1.9570501255118	0.0021124398255228	0.090576700999677	1.1313042196523	1.921067719766	8.8102923796681e-05	0.0034324541638421	6.9390121907599	0.0090048043129434	1.5642650685944e-07	0.0028393933411878	1.0508397236599	0.011390130050258	0.0036057985011755	0.0036057984835927
28.48	0.0014570539441777	116.65057210776	0.00051540224531363	0	0.059268772038119	1.0177803582116	1.4355758555287	3.7120850106616	1.0628361466137	0.0069894635520997	0.00030407862126888	1.9565871034684	0.0021491462049869	0.089289205988539	1.1308644682124	1.9202405585392	8.9335782599813e-05	0.0032195119586233	6.9363216753409	0.0088845795425527	1.5645912428628e-07	0.0028687686745219	1.050410426873	0.011383806272101	0.0036180540082532	0.0036180539906105
28.872	0.0014722764543828	116.65423719408	0.00052274727819887	0	0.059889066877304	1.0019466958893	1.4347966589075	3.7116500711059	1.062487171404	0.0070619011896823	0.00030742367789045	1.9559391235027	0.0021892245903919	0.089210230996942	1.1302514992428	1.9190846676317	9.0633802972025e-05	0.002980325075836	6.9325660252142	0.0087211219755999	1.5644623529708e-07	0.002898060583229	1.0498107921843	0.011373246136092	0.0036327543228049	0.0036327543050904
29	0.001475963439469	116.65542162904	0.00052462001507305	0	0.060038481010508	0.99682987467199	1.4345399082247	3.7115080963045	1.0623732339806	0.0070793146203897	0.00030824209046905	1.9557275596377	0.0021998247052287	0.08938862409207	1.1300518759136	1.9187076675969	9.0965633176e-05	0.0029139870604474	6.9313417682141	0.0086865211451895	1.5640959293882e-07	0.0029050802904827	1.0496152597714	0.011369141332723	0.0036370132068799	0.0036370131891446
29.2	0.0014805348175452	116.65726022394	0.00052706192315045	0	0.060222830608436	0.98888715348679	1.434136356033	3.7112860942399	1.0621951657051	0.0071007557498743	0.0003092676370829	1.9553969098907	0.0022140942387276	0.090915875394981	1.1297404350374	1.9181189954397	9.139953218961e-05	0.0028015453859052	6.929430661475	0.0090142018438495	1.5624807518016e-07	0.0029136962818962	1.0493099742966	0.011357113084712	0.0036432240415989	0.0036432240238332
29.48	0.0014846942932157	116.6598096931	0.00052956793180442	0	0.060389120308509	0.97787366368766	1.4335668227845	3.7109728752786	1.0619457291148	0.007119992825243	0.0003102262601546	1.9549337262976	0.0022296760048704	0.089598633285078	1.1293052411529	1.9172955550525	9.1847271530184e-05	0.0026664711003365	6.9267581112545	0.0088854689464443	1.5590174950722e-07	0.0029213618238318	1.0488829764965	0.011339981528159	0.0036513196983886	0.0036513196805833
29.872	0.0014866621173441	116.66333132778	0.00053150051943918	0	0.060463978611729	0.96266083553509	1.4327621772905	3.7105304570621	1.0615962157687	0.0071283768080753	0.00031074632162944	1.9542846818171	0.0022438500207357	0.089485609432489	1.1286972305356	1.9161438650196	9.2198474510457e-05	0.0025134582666051	6.9230207360074	0.008711126488962	1.5538615003806e-07	0.0029245291689462	1.0482857750861	0.011314066015201	0.003661378607561	0.0036613785897066
30	0.0014864796195833	116.66446940158	0.00053179357252449	0	0.060454602383027	0.95774464273867	1.4324979992033	3.7103847009183	1.0614819963086	0.0071271431360165	0.00031074017448221	1.9540725693105	0.0022468297439802	0.089653734916983	1.1284989178114	1.9157680201237	9.2254035568686e-05	0.0024706685994639	6.9218009706737	0.0086733166558151	1.5519374720206e-07	0.0029239439051057	1.0480908686705	0.011305030717301	0.0036643814630554	0.0036643814451863
30.2	0.001485436477523	116.66623602374	0.00053194065850291	0	0.060408754866322	0.95011335247632	1.432083754147	3.7101556617505	1.0613034038031	0.00712155226391	0.00031056880762999	1.9537409040312	0.0022499824677786	0.091160536588675	1.1281892384144	1.9151809527	9.2286529666362e-05	0.0023989062681598	6.9198955189702	0.0089975378366915	1.5483877788641e-07	0.002921535599748	1.0477864056102	0.011287461247821	0.0036688326635321	0.0036688326456412
30.48	0.0014825458264276	116.66868568075	0.00053156241591534	0	0.060286432028073	0.93953169743398	1.4315010099688	3.7098305845635	1.0610530820945	0.0071068987393261	0.00031002419979671	1.9532760121058	0.0022515272923295	0.089806074287026	1.1277559734252	1.9143593848699	9.2229853020162e-05	0.0023119474205746	6.917228341269	0.0088630053229336	1.542352850249e-07	0.0029153804339929	1.0473602684833	0.011262360235235	0.003674804937336	0.0036748049194159
30.872	0.0014760493426929	116.67206942241	0.00053002764287895	0	0.060015639362622	0.92491535894563	1.4306806755406	3.7093677916931	1.0607020349231	0.007074696464708	0.00030873900968643	1.9526240179744	0.0022487480424246	0.089655563683546	1.1271497359458	1.9132096733218	9.1974700792525e-05	0.0022119598396569	6.9134941191535	0.0086814617786043	1.5338423479864e-07	0.0029019978801974	1.0467637728048	0.011225552186618	0.0036825143972491	0.0036825143792913
31	0.0014734063183193	116.67316293218	0.00052931203806238	0	0.059906053754866	0.9201919277865	1.4304119229579	3.7092145121804	1.0605872447642	0.0070616967639326	0.00030820804139955	1.9524108100903	0.0022467833377937	0.089813221838109	1.1269518032899	1.9128343369681	9.1853872477655e-05	0.0021836190788647	6.9122744511129	0.0086415650195834	1.5308909564744e-07	0.0028966151015393	1.0465689902579	0.011213089561124	0.003684888914194	0.0036848888962247
31.2	0.001468801646022	116.67486037371	0.00052799702052535	0	0.059715366467759	0.91285985695781	1.4299910881012	3.7089729709409	1.0604077036341	0.007039100164927	0.00030727673278733	1.9520773254411	0.0022427515996581	0.091294897522704	1.1266425338889	1.9122479373613	9.1630634594751e-05	0.002136310691274	6.9103682925382	0.0089636221556262	1.5260317081154e-07	0.0028872731750447	1.0462646225517	0.011191417600921	0.0036884670824929	0.0036884670645061
31.48	0.0014614587335469	116.67721409466	0.00052578805690845	0	0.059412319306546	0.90269310394567	1.4294001818266	3.7086290624875	1.0601559502912	0.0070032288039667	0.00030578178136376	1.9516096901576	0.0022352852090808	0.089908460697787	1.1262094997453	1.9114270683219	9.1253741118468e-05	0.0020781862181365	6.9076985280089	0.0088254463177433	1.5182840556629e-07	0.0028724677080114	1.0458384362634	0.011160638507965	0.0036933981368246	0.0036933981188137
31.872	0.0014496561158921	116.68046530512	0.00052206591710277	0	0.058926754235898	0.88864986589147	1.4285701047414	3.7081374338889	1.0598027016441	0.0069458134506851	0.00030336338998284	1.9509534822278	0.0022217143975671	0.089727407838117	1.1256029973274	1.9102779312038	9.0615928662102e-05	0.0020098462018615	6.903957959055	0.0086393257829139	1.5075761711972e-07	0.0028488073663824	1.0452415599582	0.011116306978951	0.0036999843774716	0.0036999843594285
32	0.0014454808717944	116.68151598415	0.00052071746730758	0	0.058755320057394	0.88411163813831	1.4282984978057	3.7079741776342	1.0596871467764	0.006925553616382	0.00030250508019237	1.9507388117281	0.002216622015336	0.089876785417998	1.1254048530447	1.9099026967162	9.0384373549944e-05	0.0019901045902001	6.9027356421232	0.0085981003351091	1.5039607778401e-07	0.0028404654236803	1.0450465871351	0.011101520758544	0.0037020663030321	0.0037020662849788
32.2	0.0014386684973606	116.68314693723	0.00051848868232223	0	0.058475672118414	0.87706705423839	1.4278735317595	3.7077165592746	1.0595063724578	0.0068925148827628	0.00030110189943874	1.9504029692671	0.00220806246244	0.091334101971307	1.1250951377172	1.9093163775281	9.0001214315711e-05	0.0019571309828484	6.9008248158137	0.0089187358562562	1.4982394512595e-07	0.0028268677303259	1.0447418615705	0.011076951465134	0.003705245220952	0.0037052452028832
32.48	0.0014285869167011	116.68540845822	0.00051514292318111	0	0.058062498058213	0.86729893473396	1.4272774633642	3.7073492825096	1.0592528229204	0.0068437180591396	0.0002990212246916	1.949931901283	0.0021949544916922	0.089924243999981	1.124661265265	1.90849547517	8.9425329720722e-05	0.0019158617896595	6.8981475391735	0.0087783216012707	1.4893883537713e-07	0.002806795110959	1.0443150623278	0.011042285580836	0.0037097112087393	0.0037097111906486
