# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
17	2.4723483675511	0	0.18670145852164	5.9433067313711	0.030710238289944	1.9791676387682	1.4073143270021	1.7835813285827	0.34666286461958	0.15651101328116	0.090586191340213	1.3912955451263	0.17041280892301	3.6043980917864
17.2	2.441705062033	0	0.18278195684174	5.8926700344662	0.03001809213705	1.9639238068353	1.3892179197908	1.7693697971613	0.34159962361725	0.15413787530034	0.087849840993641	1.3735629360572	0.16676498437156	3.5446671480828
17.48	2.3977143079463	0	0.17767491950995	5.8241064091072	0.029125129831983	1.9432914398861	1.36514200953	1.7496638854247	0.33496144374339	0.15102564124696	0.084327127944846	1.3498705916772	0.1620358058064	3.461028725096
17.872	2.3375919219992	0	0.17118878049697	5.7289124538152	0.027999611936723	1.9145905452183	1.333524798451	1.722444295068	0.32639200264984	0.14700328164188	0.079931904618784	1.3186974879158	0.15604234657205	3.3422151517846
18	2.3189421516969	0	0.16921588662289	5.6982676348037	0.027656323875522	1.9053295566511	1.3234463354563	1.7136479844795	0.32372275088041	0.14574986095592	0.078613576704882	1.3089602143347	0.15419651980069	3.3024249047845
18.2	2.2863790381712	0	0.16626823790869	5.6443932089668	0.02714182654774	1.888948324242	1.3083971513994	1.6999936780317	0.31963480663593	0.14385166883932	0.07666229092632	1.2941591221506	0.15146302439377	3.2351881598768
18.48	2.2398868437	0	0.16239656642811	5.5713029728716	0.026473336407867	1.8667025631308	1.2882173010735	1.6810604218029	0.31423133283854	0.14134128759078	0.074135197063826	1.2742249419747	0.1478928046032	3.1418530042602
18.872	2.1767661568726	0	0.1574223207691	5.4704585852796	0.025621221080298	1.8359137381527	1.2614145477447	1.6549080920752	0.30716789314303	0.13805530892222	0.070954084412203	1.2477113297461	0.14331533309642	3.0116430992239
19	2.1572945724924	0	0.15589584470354	5.4382023009979	0.025358743588852	1.8260363875048	1.2527777025683	1.6464566790518	0.30494452442517	0.13702043517806	0.069993178397835	1.2393645708186	0.1418900771155	2.9688020916441
19.2	2.1231449049719	0	0.15360184945217	5.3811784082026	0.024963173274936	1.8084721698059	1.2398462007497	1.6333377487382	0.30151965321621	0.13544446320004	0.068564145475945	1.2266144982534	0.13977032975342	2.8960186183258
19.48	2.0749342768565	0	0.15056274114695	5.3045534997131	0.024445179529665	1.784833656927	1.2223839461502	1.6151468522401	0.29695741782958	0.13334395891823	0.066700077236229	1.2093225746839	0.13697898834754	2.79629186084
19.872	2.0104674134181	0	0.14661058865507	5.2005122601969	0.023776706133736	1.7526275815005	1.1989622448927	1.5900199361828	0.29092404853468	0.1305619680208	0.064328827896148	1.1861090584932	0.13335551409736	2.6602938745511
20	1.9907377552581	0	0.14538668158301	5.1676087573132	0.023568734927138	1.7424115066512	1.1913587722729	1.581899897186	0.28900827457998	0.12967801845704	0.063606665187103	1.1787529657103	0.13221577241353	2.6164923925674
20.2	1.9555800331242	0	0.14353650423091	5.1080875427196	0.023253456246991	1.7238290294876	1.1799355794424	1.5692953508019	0.2860414392388	0.12832516534055	0.062526811386986	1.1674700196771	0.13051211192107	2.5404075915841
20.48	1.9066125235161	0	0.14106426359244	5.0293532857445	0.022837413400639	1.6992062598793	1.1644198196875	1.5518177061043	0.28206552526166	0.12651047025193	0.061106712190947	1.1520797740806	0.12825004889044	2.4376190496453
20.872	1.8423130907976	0	0.137810993338	4.9245523850323	0.022293959839838	1.6663258661803	1.1434444328763	1.5276759975631	0.27675992298912	0.12408351162334	0.059279022491771	1.1312630917814	0.12527779085743	2.3006712945833
21	1.8227902159886	0	0.13679469975386	4.8918280483162	0.022123322666139	1.6560305288221	1.1366048314973	1.519874339406	0.27506468351897	0.1233071866906	0.058717408687091	1.124631714122	0.12433460828424	2.2574841599857
21.2	1.7871579111619	0	0.13524979359564	4.8306783987541	0.021863188004073	1.6366975668413	1.1262906431874	1.5077640080253	0.27242838522878	0.12211424352636	0.057872686429262	1.114427255377	0.12291726863702	2.180030227692
21.48	1.7381554009593	0	0.1331689258567	4.7510569442112	0.02151744844995	1.6114820028279	1.1122163298598	1.4909716488019	0.26888025667024	0.12050594543098	0.056752181032329	1.100445210286	0.12102064473042	2.0766471566893
21.872	1.6748598004612	0	0.13040092863198	4.6470103149453	0.021060780061184	1.5784368567784	1.0930745879004	1.4677765185587	0.26411436516312	0.11833850263171	0.055292484782044	1.0814224428208	0.11850084750373	1.9416180858686
22	1.6557715556663	0	0.12952946197608	4.6148909132712	0.020916224477321	1.5682113428168	1.0868170096958	1.4602807577374	0.26258488702972	0.11764173458243	0.05483985594375	1.0753380054004	0.1176953054846	1.8997721774567
22.2	1.6200626864894	0	0.12819818551981	4.5530374796647	0.020694776215608	1.548435531364	1.0773464124311	1.4486452636156	0.26019985317161	0.11656773639728	0.054155045531406	1.0659519871478	0.11647864235438	1.8223244602938
22.48	1.5715032496494	0	0.12639254699221	4.473454251661	0.020398446666173	1.5229492842837	1.0643761888178	1.4325113206074	0.25697799602886	0.11511340008694	0.05323888574485	1.0530474257585	0.11483903734271	1.7199447669919
22.872	1.5096615375995	0	0.12396833523946	4.371050830383	0.020003063011564	1.4900725696099	1.0466549160963	1.4102256547835	0.25262617704399	0.11314097407956	0.052031307928909	1.035413525949	0.11263962841531	1.5884315797596
23	1.491140003917	0	0.12320007841915	4.3397600134325	0.019877012333865	1.4800060427897	1.0408529716021	1.4030237975093	0.25122447246413	0.11250439271678	0.051653619324558	1.029756356307	0.11193221254354	1.5482501924364
23.2	1.4559987664481	0	0.12202165840636	4.2786389136788	0.019683122485446	1.4602688207674	1.0320432229966	1.3918445230577	0.24903531889984	0.11152077013287	0.051079045014387	1.021013476493	0.11085880833934	1.4724972198455
23.48	1.4087821255797	0	0.12041416673028	4.2006635480784	0.019421864029704	1.4350494600017	1.0199421993185	1.3763431809911	0.24606478147823	0.11018270149675	0.050304303211503	1.0089629653027	0.10940312142113	1.3734299037724
23.872	1.3495876990724	0	0.118239723785	4.1018788661697	0.019070004992276	1.4030296498189	1.0033497158366	1.3549313214693	0.24202846393862	0.10835753416992	0.049272241431645	0.99244335280832	0.10743450190854	1.248468425948
24	1.3573228982086	0	0.11670153132831	4.2200616532657	0.019642983297449	1.4419995057649	0.99176626470859	1.349149582829	0.24560179865515	0.11645762290495	0.048600317150324	0.97995790740444	0.10625791440218	1.2061916894079
24.2	1.5177021609275	0	0.11795171827079	5.167695869731	0.024463925605358	1.7501954279207	0.99285794323836	2.0258561055663	0.31573817854148	0.18056705535676	0.049052874582123	0.99139195795765	0.10580394453786	1.1026787573985
24.48	1.6013575383196	0	0.12659153849753	5.6549382662862	0.027419879660922	1.9063153548744	1.0525136318105	2.9641862326821	0.37984489651079	0.21942769230162	0.052519640593298	1.0657466835971	0.11081512683326	0.99602255424143
24.872	1.6514419942499	0	0.15049640333211	5.8531376124253	0.030444428339766	1.969134645042	1.2403287884638	4.2602914099883	0.44283359602513	0.24714472612495	0.062229547271359	1.2698511186418	0.12894814196669	0.88088560934192
25	1.6670014416274	0	0.16081587707922	5.8861911751044	0.03162648492349	1.9795420795318	1.323146600982	4.6791433655619	0.4620880302378	0.25548908485481	0.066433973835621	1.3577853215011	0.13721308823846	0.84881920986199
25.2	1.4819712111364	0	0.17701284575415	4.8422734524717	0.028385307608998	1.6444972481924	1.463901042024	4.6418599945549	0.41967119559993	0.19989129780599	0.073036071763221	1.4957611955494	0.1517535994979	0.81620137352004
25.48	1.3865885104658	0	0.19711583576074	4.278013452061	0.028709381686757	1.4610019987267	1.6428839215375	4.5901623186808	0.39895560402451	0.17977832810145	0.081229366775433	1.6670240374045	0.1709366737344	0.75844771915118
25.872	1.3651654502839	0	0.2208004072749	4.0740138359842	0.031829845298829	1.3944664453102	1.8533772894789	4.5187527736277	0.4087682172783	0.18774238193912	0.090880555549671	1.8688246042938	0.19368684887323	0.68034720963941
26	1.3677362949786	0	0.22756904640982	4.0554512280892	0.032957310962133	1.3884690437596	1.9137951492087	4.4956760325245	0.41641006727862	0.19283331841971	0.093638230734393	1.9265021207695	0.2002086138252	0.65739641104168
26.2	1.3718272003256	0	0.23725055612473	4.0401353294085	0.034678918183652	1.3835639177844	1.9998588745258	4.4598545435565	0.43087376851584	0.20147035387588	0.09758217381024	2.0090078108783	0.20951214347872	0.61519292212173
26.48	1.3809208166311	0	0.24912566107197	4.0402880403221	0.036892427310984	1.383770255053	2.1054534284957	4.4101839490983	0.45332995217533	0.21334345206985	0.10241871583749	2.1102210773171	0.22092509303594	0.56367626631532
26.872	1.3965702956315	0	0.26284308527985	4.0544646705065	0.03952608238473	1.3886067145145	2.2276156535342	4.3415744129312	0.48442614796277	0.2279782233017	0.10800364025864	2.227163719234	0.23413432654576	0.50496295786273
27	1.4015820253621	0	0.26669380752973	4.0599931063768	0.040275858445115	1.3904725811697	2.2620414001638	4.3194025074734	0.49392589346566	0.23219094213987	0.10957091736565	2.2599985796172	0.23785668953999	0.48864695918618
27.2	1.4065123534144	0	0.27212843369113	4.0634153065413	0.041342493641958	1.3916512184096	2.3105908052901	4.2849855774698	0.50793661065648	0.23820509105507	0.1117823103057	2.3063468030681	0.24311418286724	0.4594973971962
27.48	1.4121662604419	0	0.27864517750784	4.0691542135305	0.042636139085817	1.3936044586254	2.3689301581652	4.2372625700028	0.52562072322124	0.24552007624857	0.11443289671309	2.361939191647	0.24943858310814	0.42460095718309
27.872	1.4195845423005	0	0.28588052119987	4.0767232085758	0.044098592038476	1.3961710033679	2.4339516632716	4.1713432273065	0.54644012433057	0.25380016792912	0.11737350009163	2.4236928489022	0.25650128351814	0.38548303742071
28	1.4216401657663	0	0.2878358054901	4.078860569539	0.044500730478713	1.3968958997537	2.4516091146644	4.1500406768245	0.55230591647556	0.25607690534672	0.11816756053142	2.4403895904009	0.25842241997675	0.37470093021606
28.2	1.4229647271964	0	0.29051399660747	4.0783437864368	0.045059716375513	1.39674697947	2.4758521377605	4.1169732279043	0.56058338771827	0.25923912696963	0.11925452032989	2.4632687972384	0.26106588721481	0.35574410852925
28.48	1.4235563066054	0	0.29355746918819	4.0777873747449	0.045711894859993	1.3965927421738	2.503572323016	4.0711214328465	0.57045107506241	0.26292584975391	0.12048828432992	2.489288425601	0.26409825181247	0.33318219371355
28.872	1.4240654062679	0	0.29659984996666	4.0762492809484	0.046398974762894	1.3961235786345	2.5316283108589	4.0077867835572	0.58120146592091	0.26680202332228	0.12171854449562	2.5153408088468	0.2671872284967	0.30799372090676
29	1.4239516834271	0	0.29733121405637	4.0754668966813	0.046574629777714	1.3958771573308	2.5384784690647	3.9873194986879	0.58403920558315	0.26779056271859	0.12201337220027	2.5216162024413	0.26794718427608	0.30105727852741
29.2	1.4227248249721	0	0.29823174149472	4.0718928486125	0.04680440636821	1.394710715102	2.5470431214442	3.9555486139471	0.58785576261324	0.26908026362861	0.12237524383964	2.5293588855543	0.26890498136382	0.28903465596889
29.48	1.4198709862952	0	0.29903969866021	4.0668695369828	0.04704236052037	1.3930721621084	2.5550449527283	3.9114946547507	0.59202385333451	0.27040937509002	0.12269719660094	2.5363430529574	0.26981732121463	0.27473189097859
29.872	1.4158045925058	0	0.29939182593916	4.059188947859	0.04723060006613	1.3905643389781	2.559367229631	3.8506433421404	0.59581515591842	0.27144523824643	0.12283022509574	2.5394871016926	0.2703544277232	0.25871148667591
30	1.4142727704675	0	0.29934001171269	4.0564728780413	0.047260938711194	1.389676545329	2.5593029654916	3.8309785709547	0.59661192675542	0.27160626710098	0.12280564401444	2.5390933000872	0.27037105555589	0.25427960877837
30.2	1.4113466742432	0	0.29910519508422	4.0508074716548	0.047279773924117	1.3878168468875	2.5578468594527	3.8004534099053	0.59745595072967	0.27169507664303	0.12270449518941	2.5371677043855	0.27025113747546	0.24667018881198
