# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
9.872	8.4903061296454e-05	8.2258231404385e-05	0.00012775954270574	1.4543209051701	1.0410056249866	3.3314089592588	0.00064661551762029	0.034523530049315	1.1322728001716	1.9250218555813	1.9475213878466	0.23102479862787	6.9563991302361	0.014003025218556	1.0144579869069	4.1591264032565e-05	4.4441499526784e-08	0.022210466112769	0.0017386993153809	0.0017386993069121
10	8.7837467552567e-05	8.5088224903614e-05	0.00013206454458441	1.4549030701229	1.0409523413929	3.3319201154003	0.00066724701804948	0.034715079076733	1.1321699610413	1.925082542072	1.947326053048	0.2262149865992	6.9556720479208	0.013765173387982	1.014355176104	4.2966157764668e-05	4.4348607453075e-08	0.022368055475096	0.0015939000191077	0.0015939000113449
10.2	9.0747688008295e-05	8.3168988401779e-05	0.00013424485730786	1.4557388004527	1.0408651295521	3.3326406417565	0.00067927115216348	0.035372415326694	1.1320084820482	1.9251590446854	1.9470202619419	0.2163366928484	6.9545357396752	0.013556473755982	1.0141941337103	4.2549482721086e-05	4.3945251236148e-08	0.022661994301935	0.0014086339306478	0.0014086339237882
10.48	9.7725214799214e-05	8.6919987828503e-05	0.00014157479773989	1.456775305176	1.0407360521979	3.3335091532283	0.00071356252997163	0.035841210287051	1.1317810849051	1.9252337964899	1.9465912637743	0.20401769400588	6.9529449735396	0.013063071368663	1.013968184728	4.406040397511e-05	4.3493847512288e-08	0.023037459480799	0.0012185163497279	0.0012185163437947
10.872	0.00010684951059763	9.4492528806614e-05	0.00015408558198522	1.4580260223471	1.0405449382996	3.3345190854893	0.00077329760045245	0.036696239827821	1.1314618643915	1.9252901652209	1.9459903159386	0.18949829773114	6.950718573927	0.012518010873613	1.0136517480571	4.7555120909245e-05	4.2990367067508e-08	0.02351288490758	0.0010503797249998	0.0010503797198859
11	0.00010931223402759	9.6799672385573e-05	0.00015795306619367	1.4583992497369	1.0404808032544	3.3348135645147	0.00079232196170909	0.036993704820327	1.1313576597596	1.9253005275348	1.9457941559368	0.18537451750967	6.9499917873326	0.012379572982859	1.0135484567661	4.8701446434615e-05	4.2856921301155e-08	0.023648934724183	0.0010118123694162	0.0010118123644902
11.2	0.00010690357602592	9.1589949502378e-05	0.00015703680973242	1.4589503416897	1.0403791682239	3.3352400754589	0.00079573793403171	0.037757545160549	1.1311944708016	1.9253100909897	1.9454872845266	0.17746279473128	6.9488556929395	0.012350706408356	1.0133867281989	4.7333298124398e-05	4.2356352218486e-08	0.023843180518768	0.00096511796710557	0.00096511796240703
11.48	0.0001094350787876	9.0677552553854e-05	0.00015863766419603	1.4596670699504	1.0402346459347	3.3357801953928	0.00080809659613576	0.038288361410706	1.1309652925724	1.9253130633364	1.945056974879	0.16755683033455	6.9472649700376	0.012094997200901	1.0131598221177	4.6896871780567e-05	4.1722258587969e-08	0.024005368039346	0.0009214923896449	0.00092149238515886
11.872	0.00011257098089563	9.2219759550561e-05	0.00016235907534374	1.460593627989	1.0400293925763	3.3364600222577	0.00082835460543318	0.039161520321001	1.1306441233024	1.9253035392443	1.9444542783248	0.15581905294741	6.9450386125618	0.011842351447265	1.0128420032247	4.7431782227707e-05	4.0902880897388e-08	0.024075531920669	0.00088879114860501	0.00088879114427826
12	0.0001132770667103	9.276303166941e-05	0.00016347346720351	1.4608831414863	1.0399619161101	3.3366694682908	0.00083426502993366	0.039448256218708	1.1305392903857	1.9252982840263	1.9442575193895	0.1524748745837	6.9443118227305	0.011783899871538	1.0127382437296	4.7667548092877e-05	4.0664399384513e-08	0.024071550286639	0.00088246930082864	0.00088246929653268
