# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
26.2	9.9937599476	1.0720687066976e-08	1.7321346661239e-07	1.3531098868713e-06	1.666251333535e-05	0.0067361045666386	2.7572557776935e-07	0.010013836948344
26.48	9.9938721897829	1.1255628064539e-08	1.82477284311e-07	1.3485583872106e-06	1.6996730400855e-05	0.0059948766505802	2.868031736751e-07	0.0098260562156857
26.872	9.9940048026538	1.1960984601515e-08	1.9763235881866e-07	1.3689382196399e-06	1.7476417808386e-05	0.005125773054747	3.0660484152956e-07	0.0095986573526211
27	9.9940429936684	1.2021127028492e-08	2.022434594753e-07	1.3798556337131e-06	1.7645973047597e-05	0.0048778349219775	3.1347134274241e-07	0.0095326768540163
27.2	9.9940952382286	1.1994445601133e-08	2.0796180977429e-07	1.3967020764173e-06	1.7907845732909e-05	0.0045231828288351	3.2334061088497e-07	0.0094374631487464
27.48	9.9941609451325	1.220511099339e-08	2.1372575180288e-07	1.4190885029908e-06	1.8253641752544e-05	0.004087607095165	3.3450723848314e-07	0.0093196174826949
27.872	9.9942382750084	1.2502075046734e-08	2.2162985754101e-07	1.4646259094096e-06	1.8867751587364e-05	0.0035809498696307	3.4939491556334e-07	0.009182849362015
28	9.9942603279884	1.2517431452234e-08	2.239127417342e-07	1.4808300794578e-06	1.9095380627977e-05	0.0034369280028713	3.5398605961874e-07	0.0091441780401687
28.2	9.9942899460718	1.2484293371984e-08	2.2666457561791e-07	1.5040612367758e-06	1.9457130588165e-05	0.0032311837893579	3.6030105104865e-07	0.0090891306221377
28.48	9.9943271351487	1.255984212693e-08	2.2930088579472e-07	1.530083806752e-06	1.9925726153461e-05	0.002978621296501	3.6701991234071e-07	0.0090217497594243
28.872	9.9943712001222	1.2674748692501e-08	2.32823594757e-07	1.5636009455332e-06	2.0556662027241e-05	0.0026841683461522	3.7500091142267e-07	0.0089436125718186
29	9.9943838696778	1.2675488405983e-08	2.3383098581294e-07	1.5736342365322e-06	2.0754797095587e-05	0.0026001489337347	3.7733131547196e-07	0.0089213939974937
29.2	9.994401427217	1.2649327231252e-08	2.350276463537e-07	1.5871672266799e-06	2.104661570039e-05	0.002479690993236	3.8046718003606e-07	0.0088895820968132
29.48	9.9944235076956	1.2648058317684e-08	2.3603521655432e-07	1.6009832793558e-06	2.1393737287247e-05	0.0023308678573327	3.8362850659268e-07	0.0088502144303778
29.872	9.9944501008668	1.2652977993666e-08	2.3705634068194e-07	1.615474208897e-06	2.1791976495094e-05	0.0021552798957088	3.8682034081284e-07	0.0088035771941777
30	9.9944578585299	1.264405250305e-08	2.3730646480564e-07	1.6193388221696e-06	2.1904885631688e-05	0.0021046316859976	3.8765670375451e-07	0.0087900799100574
30.2	9.9944693423361	1.2619790741516e-08	2.3756353525956e-07	1.6242770945863e-06	2.2062856100971e-05	0.0020314181262744	3.8872031474234e-07	0.008770526367027
30.48	9.9944836939745	1.256590187134e-08	2.3754899664961e-07	1.6283506812064e-06	2.2237306843291e-05	0.0019397945412972	3.8957322201427e-07	0.0087458964578368
30.872	9.9945012338784	1.2495852905882e-08	2.3694192935097e-07	1.6293499141002e-06	2.2399238862728e-05	0.0018295176540522	3.8964846965237e-07	0.0087157986042127
31	9.9945064261238	1.2478883963613e-08	2.3669221054028e-07	1.6289977391215e-06	2.2436817466214e-05	0.001797203213971	3.8950872253662e-07	0.0087068798289172
31.2	9.9945148595059	1.2452652686163e-08	2.3631889170923e-07	1.6281022547735e-06	2.248288476793e-05	0.0017499751539401	3.8921041665796e-07	0.0086937690176356
31.48	9.9945252292541	1.236174830743e-08	2.3560475220128e-07	1.6255703269965e-06	2.2520232218985e-05	0.0016899204324136	3.885286185274e-07	0.0086769114647193
