Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
34.2	2.0621113477833E-9	7.6401887701549E-9	5.3267801655389E-9	3.3686113308499E-10	9.5984405348506E-8	-5.8701639025162E-5	8.6567166613557E-14	0.11551724421416	
34.48	2.04144787465E-9	7.5634089822928E-9	5.2954425867786E-9	3.3359068885901E-10	9.4809761543433E-8	-5.9302551542509E-5	8.6567618009242E-14	0.11551664199501	
34.872	2.011825808261E-9	7.4519560175769E-9	5.2958728820369E-9	3.2888302561531E-10	9.3130732325696E-8	-6.0159848108818E-5	8.6568261975702E-14	0.11551578287415	
35.0	2.0020145930316E-9	7.4147515795672E-9	5.2998631123124E-9	3.2732038364689E-10	9.257542242109E-8	-6.0442036017867E-5	8.656847394578E-14	0.1155155000864	
35.2	1.9858306770881E-9	7.3529654108299E-9	5.3365215269805E-9	3.2473317985485E-10	9.166054536091E-8	-6.0888045945079E-5	8.6568808983708E-14	0.11551505311776	
35.48	1.9643219912011E-9	7.2703019915247E-9	5.303125841583E-9	3.2128919291985E-10	9.0434844646097E-8	-6.1519327431187E-5	8.6569283208017E-14	0.11551442046964	
35.872	1.9339489465719E-9	7.1529653449756E-9	5.3014162796778E-9	3.1642262750856E-10	8.8706952920034E-8	-6.2410611151333E-5	8.6569952722703E-14	0.11551352730386	
36.0	1.9239856195395E-9	7.114333106623E-9	5.3047715652892E-9	3.1482465876352E-10	8.8140692444604E-8	-6.2702080161335E-5	8.6570171669234E-14	0.11551323522182	
36.2	1.908408005861E-9	7.0537891147356E-9	5.339490183919E-9	3.1232340503005E-10	8.7255372778029E-8	-6.3159048728497E-5	8.6570514914644E-14	0.11551277732409	
36.48	1.8866554514347E-9	6.96893997157E-9	5.3044952725762E-9	3.0882442617724E-10	8.6017148928837E-8	-6.3801778234576E-5	8.6570997754245E-14	0.11551213321136	
36.872	1.8564088746704E-9	6.8504614869731E-9	5.3011191892978E-9	3.0394997722014E-10	8.4291419494318E-8	-6.4704591689194E-5	8.6571675942418E-14	0.11551122851533	
37.0	1.8465871225053E-9	6.8118939374033E-9	5.303975774651E-9	3.0236586356584E-10	8.3730501682295E-8	-6.4998681362118E-5	8.6571896859571E-14	0.1155109338177	
37.2	1.8306862973501E-9	6.7493368965992E-9	5.3368242441134E-9	2.9979530452583E-10	8.2823054632141E-8	-6.5460053979364E-5	8.6572243441704E-14	0.11551047148953	
37.48	1.8097154633175E-9	6.6665014593515E-9	5.300461275822E-9	2.9640166249405E-10	8.1616115558455E-8	-6.6106680099948E-5	8.6572729199615E-14	0.11550982351301	
37.872	1.7806764780235E-9	6.5517927698113E-9	5.2957728849453E-9	2.9170447887033E-10	7.9947664996512E-8	-6.7008328003541E-5	8.6573406498838E-14	0.11550892004366	
38.0	1.7712732446061E-9	6.5146387659347E-9	5.2982540155217E-9	2.9018314012619E-10	7.940825535042E-8	-6.7300734907708E-5	8.6573626147175E-14	0.11550862705183	
