# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
7.872	0.13217693512434	4014.8619684386	0.040455907672511	0	5.8642239314722	74.440210569025	49.730320490643	122.63256267141	1.5458318468795	0.075177195391319	69.350781840286	0.11570077457768	4.1076465600624	1.0046028660646	5.112249426127	40.164190133773	68.797667627381	0.01281368617801	11.771072854679	247.93092849505	0.85008114372412	1.767256960661	2.6173381043851	2.1787716669918e-06	1.1824381262452e-05	1.4003152929444e-05	1.1613489520917	37.531024641184	1.3165510455799
8	0.13016446233958	4014.9061245775	0.03961592895327	0	5.6795256754029	74.249890676747	49.772985970713	122.69431474801	1.4793479545672	0.073153078776294	69.368485958978	0.11330230115311	3.9213847946011	0.964832852348	4.8862176469491	40.164202819823	68.795378467671	0.012457114503937	11.62939162205	247.93023038786	0.82423643035235	1.7736048451337	2.5978412754861	2.1565283677144e-06	1.1669047222118e-05	1.3825575589832e-05	1.1064906922181	37.533511396202	1.2926214549659
8.2	0.12796121383877	4014.9748798446	0.038507636757031	0	5.4096192280528	73.953490051757	49.837714275478	122.78670192508	1.3823435727683	0.070463493059336	69.394582024037	0.11014385196384	3.6854482399956	0.92276859568822	4.6082168356839	40.163893776115	68.791389609609	0.011965133926012	11.410126238423	247.92745405176	0.80554243234621	2.0356638069537	2.8412062392999	2.1277216505615e-06	1.1452359211944e-05	1.3580080862506e-05	1.0264793869516	37.536816895169	1.2651566979943
8.48	0.12628525340463	4015.0706512743	0.037380888294207	0	5.0668915188014	73.540517081201	49.923977834237	122.90771190877	1.2594696152568	0.06752152437677	69.428166960787	0.10695154729638	3.3254386895381	0.80965251190608	4.1350912014442	40.162840709839	68.785031021015	0.011411628285736	11.112349583635	247.92042385303	0.76215762372798	1.8436642750452	2.6058218987732	2.0977568489925e-06	1.1187483858618e-05	1.328524070761e-05	0.92519149257444	37.540360242851	1.2412910295719
8.872	0.12668919889608	4015.2037852709	0.036572099342419	0	4.6481181054277	72.966229554164	50.035115493655	123.06079648875	1.109907592791	0.064872309521282	69.469709306159	0.10471993368149	2.9624771771479	0.73097816961623	3.6934553467641	40.16027240894	68.774771780689	0.010875410382021	10.717717415529	247.90507124538	0.71129404982259	1.8346585548329	2.5459526046555	2.0756454957405e-06	1.0915651967735e-05	1.2991297463475e-05	0.80202078389059	37.543430549797	1.228012617727
9	0.12718638110334	4015.2470277068	0.036448287553228	0	4.5246258606109	72.779677317419	50.069125141341	123.10710939065	1.0659452906021	0.064249161644651	69.482088428285	0.104403973735	2.8654817056725	0.70847115827286	3.5739528639453	40.159203820995	68.771134660575	0.010745144819807	10.594430592014	247.89887568391	0.69697600636941	1.8387844792441	2.5357604856135	2.0716733703337e-06	1.0842741141992e-05	1.2914414512326e-05	0.76584488996406	37.544028555719	1.2269725223662
9.2	0.12919925003144	4015.3143618185	0.036456958773965	0	4.3439676262184	72.489144280016	50.119501154727	123.17536357276	1.0017779235431	0.063737166285654	69.500086611853	0.10447165408854	2.7409926613903	0.68414963327923	3.4251422946695	40.157295548619	68.765160195491	0.010597205633498	10.409499537437	247.88801771217	0.68673933781352	2.0335742720167	2.7203136098302	2.0723749049071e-06	1.0761285941649e-05	1.2833660846556e-05	0.71307230886408	37.544567527335	1.229477027952
9.48	0.13357745036845	4015.4081575548	0.036879792979279	0	4.1141782067025	72.084346454923	50.184213368173	123.262694579	0.92045105293	0.063724459697944	69.52259839624	0.10572837807991	2.54760680921	0.62125205742984	3.1688588666399	40.154176877375	68.756253769304	0.010502078784057	10.16749246275	247.87065980297	0.65389447893109	1.8825681982321	2.5364626771632	2.0841415597467e-06	1.06844137548e-05	1.2768555314546e-05	0.64624703010598	37.544591169121	1.2411693279069
9.872	0.14221223632286	4015.538555747	0.038137470570666	0	3.8326612489416	71.521427242526	50.263359358411	123.36953626085	0.82137030662769	0.064745628147869	69.549101328606	0.1094491891802	2.3541981213607	0.57908831264638	2.933286434007	40.149039219419	68.742855212498	0.010546513524188	9.8633125431889	247.84260834471	0.6109453773915	1.8698734376008	2.4808188149923	2.118579004648e-06	1.067538782823e-05	1.2793966832878e-05	0.56494735765158	37.543367556345	1.2720909193217
10	0.14508726739735	4015.5809102129	0.038633365370633	0	3.7494619050139	71.338568275221	50.286741736254	123.40117831579	0.79222430855663	0.065156167714737	69.556733081622	0.11093736779652	2.3030267802878	0.56715879092793	2.8701855712157	40.147210753899	68.738294710077	0.010585135487916	9.7714088110916	247.83267012984	0.59853603700911	1.870999859092	2.4695358961011	2.1313590445461e-06	1.0683345759652e-05	1.2814704804198e-05	0.54106007237053	37.542706864659	1.2843564000111
10.2	0.15053532603214	4015.6468654114	0.039526653420549	0	3.6275612232068	71.05378707589	50.320654228854	123.44719745034	0.7496599506832	0.066038098417742	69.567551812399	0.11361357931994	2.2404220857887	0.55653543806409	2.7969575238528	40.144194836301	68.730978769623	0.010673013565614	9.6360180104538	247.81633862791	0.58922285848169	2.0266909792347	2.6159138377164	2.1563195420972e-06	1.0726662549109e-05	1.2882982091207e-05	0.50620437932428	37.541417871021	1.3065482707186
10.48	0.15850789257729	4015.738748583	0.040965123844075	0	3.4721340214081	70.657003300781	50.363247384074	123.50538275056	0.6956672863245	0.06739443508773	69.58069651949	0.11796005042687	2.1351239894581	0.51980487070319	2.6549288601613	40.139696387451	68.720405125309	0.010838089947714	9.4617204037123	247.79208107601	0.56235305699512	1.8975833109795	2.4599363679746	2.1950783612069e-06	1.0803450734743e-05	1.299852909595e-05	0.46204807099082	37.539157117407	1.3427421872261
10.872	0.16865101625269	4015.8665049553	0.043040402870415	0	3.2810064710614	70.105228658705	50.414868894606	123.57672746913	0.6298004585726	0.068914007806334	69.595944483054	0.12447600339512	2.0350639830909	0.49882187096615	2.533885854057	40.132982357798	68.705093162742	0.011080039422296	9.2423296678115	247.755818005	0.53125010559964	1.8831096335236	2.4143597391233	2.2474178195044e-06	1.0935882081617e-05	1.3183299901122e-05	0.40829127394904	37.53524640623	1.3991956860166
