# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
13.48	0.00032880131617911	0.00021587144711638	0.00039906003633938	1.4651116063385	1.0497929136872	3.4238606047775	0.0018636248496532	0.00036261363669426	1.1402059119947	0.055096087589061	1.945549669404	0.17634031146445	6.9233531607555	0.0092247212509116	1.0131041559106	0.00010110190669704	5.3488746679684e-08	0.051272028511901	0.00073287125087729	0.00073287124730992
13.872	0.0003256561775953	0.00020801791087658	0.00038604329416044	1.4658954123053	1.0496561850273	3.4247451506194	0.0018010694370975	0.0018225467238774	1.1399173377865	0.055105074388845	1.944972582968	0.17074151565527	6.9211846615934	0.0091914034750533	1.0127965191995	9.6157314876894e-05	5.2716971217491e-08	0.050756397935887	0.00073906711510492	0.00073906711150738
14	0.00032509655557109	0.00020694416290054	0.00038402563643445	1.4661507014209	1.0496115749989	3.4250326346506	0.0017905640907675	0.0022373992479969	1.1398228798431	0.055108013521973	1.9447840050873	0.16962228297521	6.920476705688	0.0091823164062376	1.0126960219759	9.5408537469142e-05	5.2570546210259e-08	0.050648711416203	0.00074082061434765	0.00074082061074156
14.2	0.00029917483896929	0.00018755195164972	0.00036247825568835	1.466546081592	1.0495417023533	3.4254726235541	0.0017040336711132	0.0030117914821069	1.1396741027119	0.055112583805755	1.9444883143556	0.16472155303338	6.9193683920921	0.0091724070245105	1.0125383350836	8.8052507984645e-05	5.1688237941818e-08	0.050281711461136	0.00074421345246933	0.00074421344884671
14.48	0.0002905585623651	0.00017496019845409	0.00034409457437749	1.4670909166418	1.0494434152184	3.4260691819564	0.0016228060454106	0.0038620208202326	1.1394632643951	0.055118921058038	1.944072254773	0.15891661385322	6.9178147162444	0.0091460585516386	1.0123164925565	8.1686821967752e-05	5.0769583283731e-08	0.049755851737398	0.00075061064884032	0.00075061064518655
14.872	0.000287146001054	0.0001687003547874	0.00033281361661071	1.4678454809511	1.0493056933746	3.4268886456845	0.001566873190282	0.0048464810644409	1.1391658774877	0.055127777018442	1.9434882063665	0.15363782372558	6.9156395121629	0.0091161810957612	1.0120052983614	7.777228612907e-05	4.9992639746485e-08	0.049215735709239	0.00075943519393719	0.00075943519024045
15	0.00028647796429566	0.00016779306116073	0.00033099680744389	1.4680914436423	1.0492608207775	3.427155401565	0.0015572945546847	0.0051258715359759	1.1390685856829	0.055130681528236	1.9432973958934	0.15258078551167	6.9149293687545	0.0091087702447033	1.01190365691	7.7165495271944e-05	4.9843562396019e-08	0.049104564058347	0.00076183799275057	0.00076183798904213
15.2	0.00026529861320708	0.00015358062300769	0.00031385709690805	1.4684718331555	1.0491905651447	3.427563747208	0.0014858154909098	0.005649220830491	1.1389155837778	0.055135201288425	1.9429984528088	0.14777748012715	6.9138180427041	0.0091147856932381	1.0117443606547	7.1709675046754e-05	4.8995429117377e-08	0.048719612843295	0.00076624918533289	0.00076624918160297
15.48	0.00025806133141402	0.00014434444680407	0.0002992707015214	1.4689943313883	1.0490917863905	3.4281169857985	0.0014192520521524	0.0062460463556195	1.1386993049564	0.055141473600052	1.9425783395404	0.14206559438766	6.9122605981524	0.0090883737835041	1.0115205697445	6.7009760805523e-05	4.8084023495344e-08	0.04817598580811	0.00077416091281805	0.0007741609090496
15.872	0.00025483387591057	0.00013962048357802	0.00029015693711378	1.469716064656	1.0489535024075	3.4288765668058	0.0013731108248825	0.0069584599248557	1.1383947761003	0.055150255158209	1.9419890456754	0.13685997386813	6.9100802566807	0.0090589080492055	1.0112068480107	6.4093751029333e-05	4.7290852395083e-08	0.04761895386066	0.00078486782131795	0.00078486781749735
16	0.00025415500101888	0.00013889701471304	0.00028863142292811	1.4699511675842	1.0489084797161	3.4291239142643	0.0013650329956738	0.0071613407019891	1.1382952015316	0.05515313977401	1.9417965613233	0.13581669562571	6.9093684405808	0.0090521214032892	1.0111043960782	6.3629921071807e-05	4.7136512477296e-08	0.047504266153352	0.00078778358437485	0.00078778358054005
16.2	0.0002367031184359	0.00012845299298552	0.00027507912149776	1.4703137306232	1.0488379971007	3.4295020942511	0.0013073213313315	0.0075439125801135	1.1381388206469	0.055157629438161	1.9414951905048	0.1310196251575	6.9082548135539	0.0090685092041391	1.0109439633464	5.9629718513422e-05	4.6296109399886e-08	0.047103183860519	0.00079308339480647	0.00079308339094586
16.48	0.00023059658052492	0.00012165076080358	0.00026352732162655	1.4708089925585	1.0487389055656	3.4300128576254	0.0012537128937163	0.0080028872960054	1.1379182336149	0.055163860216933	1.941072068108	0.12531480087922	6.9066944952086	0.0090408097519261	1.0107188016531	5.6183360311659e-05	4.5363450002421e-08	0.046536984654665	0.00080250056120532	0.00080250055729884
16.872	0.0002275547642211	0.00011803911183316	0.00025612166423179	1.4714898560406	1.0486002531408	3.4307122875925	0.0012160046112508	0.0085760011807355	1.1376080878847	0.055172592716354	1.9404788939104	0.12011865694359	6.9045102405998	0.0090100541454187	1.0104033051995	5.4008348213979e-05	4.4528918252716e-08	0.045952354359592	0.00081528304663312	0.00081528304266439
17	0.00022687386957325	0.00011744894186046	0.00025482324827227	1.4717113213478	1.0485551369642	3.4309399621931	0.0012091994636632	0.0087404780057473	1.1375067220517	0.055175464848407	1.9402851726273	0.1190777246201	6.9037971509386	0.0090032785337965	1.0103002844871	5.3649720056299e-05	4.4364499558038e-08	0.045831141626808	0.00081879112810218	0.00081879112411636
17.2	0.00021212727265867	0.00010959108193548	0.00024386224840621	1.4720515469405	1.0484845068213	3.4312871793337	0.0011621431549242	0.009053098587443	1.1373476911653	0.055179934818357	1.9399820043957	0.11434972736508	6.9026817571382	0.0090269413750813	1.0101390528781	5.0669542937122e-05	4.3508980973203e-08	0.045407806322622	0.00082511342724224	0.00082511342322563
17.48	0.00020685727393379	0.00010445108793934	0.00023448647022675	1.4725128839454	1.0483851826078	3.4317535219424	0.0011183975149034	0.0094482833394291	1.1371237222639	0.055186134532443	1.9395566441576	0.10874602626137	6.9011192159586	0.0089970484150791	1.0099129243802	4.809326883068e-05	4.2535287301417e-08	0.044808572118987	0.0008362641511612	0.00083626414709028
17.872	0.00020396160104116	0.00010159529909913	0.00022829293774832	1.4731429935531	1.0482462230914	3.4323891195185	0.001087006379254	0.0099662794685637	1.1368091606626	0.055194825943959	1.93896057363	0.10365729931996	6.898931929799	0.0089637663268707	1.0095961732425	4.6427583723187e-05	4.1645847910281e-08	0.044183845566987	0.00085148537763738	0.00085148537349232
18	0.00020328037834084	0.00010109513184643	0.00022715259626952	1.4733475197628	1.0482010272161	3.4325958025071	0.0010811372276936	0.010116455266829	1.1367063858314	0.055197687376169	1.938765928071	0.10263934518386	6.8982178534141	0.0089565814706847	1.0094927501567	4.6140549751392e-05	4.14690572525e-08	0.044053151175958	0.00085570081765978	0.00085570081349419
