# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
7.872	2.1762184479799e-07	2.5147069798926e-07	3.698789870414e-07	0.01625043616136	0.011828521946444	0.038230763482091	1.9382292129812e-06	-0.048240790655398	-0.1249358232319	0.012885920886282	0.00061648368257413	0.022008555301964	0.0003178925288865	0.078353700286993	0.012280483854332	0.63422889799991	0.011461651406536	1.3124769838526e-07	6.2488520038703e-08	4.1429483539125e-06	7.8728067518018e-05	0.90914184427826
8	2.2020084592658e-07	2.5446768363757e-07	3.7407126438764e-07	0.016262917710729	0.011829563049459	0.038248615216782	1.9561631661974e-06	-0.047744654969062	-0.12385167356199	0.012885052793626	0.00061673828145025	0.022006255346149	0.00031652401165157	0.078344128941375	0.012223654542256	0.63385411328098	0.011460413775675	1.3270829688116e-07	6.2408134419498e-08	4.1458226450019e-06	7.8076463720756e-05	0.90914008659961
8.2	2.0915183081224e-07	2.3063017287815e-07	3.482683517982e-07	0.016281747199816	0.011831069229116	0.038275276152025	1.8117419329518e-06	-0.046635024633556	-0.1205156054329	0.012883650682111	0.00061711830665678	0.022002660613054	0.00030974959868502	0.078329323226877	0.011903909851923	0.59830943164713	0.011458478269007	1.2081016768144e-07	6.1478677807136e-08	3.8929603610549e-06	7.6953745937938e-05	0.90913753332089
8.48	2.1743810176617e-07	2.3262906781268e-07	3.4826329833582e-07	0.016306542785828	0.011832901393388	0.038309976889762	1.7768399230959e-06	-0.04531889008189	-0.11988179850386	0.01288162329391	0.00061760982426247	0.021997665476361	0.00030199464076578	0.078308978479361	0.011802075467587	0.62892027475693	0.011455797262778	1.1918847371368e-07	6.0829494604223e-08	3.8988420574502e-06	7.5213170630459e-05	0.90913436831986
8.872	2.3438417092575e-07	2.4919328751746e-07	3.7034589830791e-07	0.016337924511552	0.011834873135222	0.03835355473888	1.8607451918718e-06	-0.042472423031086	-0.11303331651642	0.012878805915274	0.00061821178599018	0.021990843587007	0.00029568278490551	0.078281269617433	0.01157423691293	0.62930895415462	0.011452144853415	1.2618571470371e-07	6.0524125580225e-08	3.9172487692968e-06	7.2763525257812e-05	0.90913072697843
9	2.4059244133565e-07	2.556988331436e-07	3.7950209185427e-07	0.016347423326166	0.011835382069235	0.038366689547369	1.9011180191948e-06	-0.041423062546034	-0.11061315602589	0.012877900597786	0.00061838880996569	0.021988658638429	0.00029465236708809	0.078272392421623	0.011485081306698	0.62841578549819	0.0114509759402	1.2923955693213e-07	6.0515869912171e-08	3.9236569094199e-06	7.2012239151845e-05	0.90912971146409
9.2	2.5034191453727e-07	2.4901420825518e-07	3.7813861622291e-07	0.016361313718973	0.011836028677384	0.038385770895298	1.8749477173785e-06	-0.039212330615857	-0.10338186540079	0.012876474133288	0.00061864339046597	0.021985275354964	0.00028814224578044	0.078258739365652	0.011140280357142	0.59619170788145	0.011449165136224	1.2527550320612e-07	6.0050407220473e-08	3.7904551674997e-06	7.0967256707808e-05	0.90912835469796
9.48	2.7188898211514e-07	2.631678893497e-07	3.9785629055438e-07	0.01637875707751	0.011836628309814	0.038409533078872	1.9372279392616e-06	-0.036539060950089	-0.09978266078823	0.012874463673087	0.00061895449425565	0.021980616756366	0.00028067573819884	0.078240080944907	0.010964275228057	0.6212162964203	0.01144667646477	1.295863727882e-07	5.9746156569314e-08	3.8074987233502e-06	6.9241794160096e-05	0.90912692660209
9.872	3.1005888431236e-07	2.965580696628e-07	4.4337063718737e-07	0.01639953250309	0.011836890771972	0.03843757150561	2.1179945834572e-06	-0.03215779882074	-0.089119315215867	0.012871680334511	0.00061930501987857	0.021974274000091	0.00027464505243897	0.078214772886336	0.010673169315548	0.61974185198139	0.011443297398512	1.4327710174447e-07	5.9776413734928e-08	3.8371013248141e-06	6.6630296366993e-05	0.90912576354425
10	3.2282169975897e-07	3.0822855429852e-07	4.5944772810576e-07	0.016405597983737	0.011836858782237	0.038445702271805	2.1845596471925e-06	-0.030679549826492	-0.08548224231778	0.012870782579128	0.00061940220961687	0.021972241122358	0.00027367390394099	0.078206669724603	0.010574015957601	0.61836867587255	0.011442215880247	1.482793282221e-07	5.9859365962061e-08	3.8458170619266e-06	6.5813564992601e-05	0.90912554754299
