# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_Acetic [g]	MO_hydroM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_acetoM [g]	MO_ButyricValeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	Valeric [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
11.48	0.012428698521216	0.0097940411365562	0.015778778943151	46.921574151071	33.740946981716	109.81041858987	0.07221761916887	-0.42026143888069	-0.1267969670058	-0.54705840588649	36.668649172357	1.7681075315269	62.583865217979	6.9201875876661	222.73196645438	0.30806276938541	1.9235277124618	2.2315904818472	32.590343606182	0.004559497663209	1.8744895053834e-06	1.1584886832674e-05	1.3459376338058e-05	1.7452495340893
11.872	0.012835225083957	0.0099007711901731	0.01595933393825	46.950534994492	33.736943950088	109.84605680764	0.072621391737593	-0.31253722733862	-0.09910194283759	-0.41163917017621	36.660051715332	1.7684471721928	62.565909766586	6.7105936011313	222.66283844425	0.30515096360732	1.9169354966332	2.2220864602405	32.580795858263	0.0045431945568838	1.8605017897416e-06	1.1597846366914e-05	1.3458348156655e-05	1.7224014333617
12	0.012932197684438	0.0099514449771258	0.016030773817156	46.959740494238	33.735597553482	109.85733278813	0.072835223325636	-0.28110851710294	-0.090723992236059	-0.371832509339	36.657235085421	1.7685529264479	62.560042206312	6.6691941299933	222.64027312189	0.30430121159754	1.913820097889	2.2181213094866	32.577677139481	0.0045533241378526	1.858125206442e-06	1.160057487237e-05	1.3458700078812e-05	1.7169577421547
12.2	0.01203797194653	0.0090662895172843	0.015311131299093	46.973847995768	33.733462134836	109.87439821312	0.070245135637873	-0.22220718864676	-0.068550302794648	-0.29075749144141	36.652788774575	1.768714016056	62.550829420931	6.4851628335777	222.60493017392	0.30158797419667	1.8856539261155	2.1872419003121	32.572770343952	0.0042485430404132	1.831343337164e-06	1.0949342769463e-05	1.2780686106627e-05	1.7070624343672
12.48	0.011840054309975	0.0085254510972152	0.014702399336687	46.993080853282	33.730421251117	109.8972755078	0.067758949330984	-0.15985972247325	-0.05637410019931	-0.21623382267256	36.646464578284	1.7689328138186	62.537838973965	6.2673955333431	222.55536900806	0.30029044525901	1.8983046369269	2.1985950821859	32.565844861779	0.0039826932374245	1.8040531727246e-06	1.0928641990383e-05	1.2732695163108e-05	1.692383584311
12.872	0.011832696974735	0.0082943117876723	0.014361714557573	47.019435671465	33.726108751491	109.9283162721	0.066108615419601	-0.088167701267908	-0.037996098775228	-0.12616380004314	36.637521285601	1.7692318743348	62.519580616007	6.0697619021025	222.48598063359	0.29881738497304	1.8933022142618	2.1921195992349	32.556116523634	0.0038260894565809	1.7814110968891e-06	1.0927195397181e-05	1.270860649407e-05	1.6766507333558
13	0.011835688541368	0.0082687169063803	0.014316040647517	47.027977630814	33.724694641128	109.9383494549	0.065853377999406	-0.067653226204963	-0.03251753569261	-0.10017076189757	36.634593000889	1.7693287453006	62.513613555043	6.0303447321725	222.46332779654	0.29838644417686	1.8912646523079	2.1896510964847	32.55293819087	0.003804255364445	1.7771595901676e-06	1.0926620497993e-05	1.2703780088161e-05	1.6732192585934
13.2	0.010864821601059	0.0074573066735009	0.013509881346634	47.04118985511	33.722475621168	109.95367093742	0.062782998874566	-0.029371570518293	-0.018061499162709	-0.047433069681002	36.629974430099	1.769478867122	62.504249207476	5.8623268218247	222.42785096785	0.29722375403074	1.8804811781059	2.1777049321367	32.547943963314	0.0035069992247571	1.7479113858459e-06	1.0266409743423e-05	1.2014321129268e-05	1.6626323558019
13.48	0.010561098275673	0.0069337908813781	0.012817808367221	47.059384795594	33.719348387633	109.97440262545	0.059859630170862	0.01164715001062	-0.0098835867693032	0.0017635632413164	36.623413893271	1.7696863333606	62.491055381256	5.6640508042382	222.37810352347	0.29629804657928	1.8818555906487	2.178153637228	32.540905487849	0.0032473932431089	1.7180585433515e-06	1.0240345406942e-05	1.1958403950294e-05	1.6468575558023
13.872	0.010460076424361	0.0066815352973557	0.012399710608433	47.084560643246	33.714956663076	110.00281423789	0.057850350319573	0.058540200770942	0.0020545130720254	0.060594713842967	36.614144889703	1.7699749893697	62.472519364932	5.4842174828473	222.30845133038	0.29522787961871	1.8778856929468	2.1731135725655	32.531024196689	0.0030885729538458	1.6932691155058e-06	1.023638565454e-05	1.1929654770046e-05	1.6302955017007
