# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
18.48	1.1278856591107e-05	0.16804514180844	0.11947549759578	0.39139936959002	0.12954032035628	0.0062937467246165	0.2209359156561	0.78609119099604	0.115037870675	0.00087634478322676	1.9377066770421
18.872	1.0988346666133e-05	0.16810997636708	0.11945960998571	0.39146385406387	0.12950405654306	0.0062947313692514	0.22086771066941	0.78584156492125	0.11500165794246	0.00089435333834711	1.9374485035471
19	1.09340262373e-05	0.16813095990162	0.11945444375938	0.39148478364043	0.12949221105925	0.0062950557139823	0.22084544015654	0.78576007054058	0.11498983459985	0.00089938603929846	1.9373631194372
19.2	1.0320608629274e-05	0.168162832997	0.11944635136193	0.39151637573156	0.12947364965515	0.006295559869346	0.22081060557509	0.78563262901286	0.11497134229028	0.00090826641678062	1.9372279335186
19.48	9.91610724136e-06	0.16820510365439	0.11943495146764	0.39155791460319	0.12944755811916	0.0062962563760934	0.22076176807275	0.78545413221974	0.11494542633854	0.00092361860959633	1.9370366455683
19.872	9.6698392561646e-06	0.16826165822345	0.11941898149707	0.39161347725269	0.12941095938425	0.0062972300554028	0.22069336186129	0.78520427902065	0.11490913701499	0.00094477998741265	1.9367635341365
20	9.621136679523e-06	0.16827988430652	0.11941378797072	0.39163145207944	0.12939900639826	0.0062975507652491	0.22067102676485	0.7851227106881	0.11489728902851	0.00095074739360599	1.9366730765319
20.2	9.1061504735715e-06	0.16830731528916	0.1194056473192	0.39165832043335	0.12938028262721	0.0062980485027871	0.22063609585723	0.78499516144907	0.1148787612324	0.00096117719509172	1.936529916056
20.48	8.7668688347367e-06	0.16834302432961	0.11939416023556	0.39169294188348	0.12935397607769	0.0062987334212637	0.22058713306576	0.78481652396542	0.11485280072062	0.0009790323770665	1.9363270929453
20.872	8.5528877634371e-06	0.16838993249263	0.11937804075222	0.39173838586512	0.12931708827179	0.0062996872296272	0.22051855964499	0.78456647741662	0.11481645231595	0.0010037577104597	1.9360369345872
21	8.5086346488976e-06	0.16840494753646	0.11937279596232	0.39175300089631	0.12930504213719	0.0063000011258409	0.22049617069092	0.78448484612265	0.11480458527755	0.0010107925587186	1.9359406909426
21.2	8.0629489694843e-06	0.16842722680318	0.11936456711998	0.39177449630751	0.12928617639062	0.0063004871471838	0.22046115858175	0.78435720410045	0.11478602971826	0.0010229683269528	1.9357883774449
21.48	7.7713424705958e-06	0.16845538341567	0.11935293005787	0.39180125809302	0.129259679052	0.006301152143341	0.22041208841652	0.78417844453548	0.11476003378478	0.0010435825366077	1.9355723233778
21.872	7.5830286766675e-06	0.16849124961045	0.11933656003767	0.39183520532016	0.12922253189164	0.0063020726638686	0.22034337011004	0.78392822998663	0.11472363800921	0.0010722209852979	1.9352626616436
22	7.5427705198375e-06	0.16850259310077	0.11933122855188	0.391845997945	0.12921040185488	0.0063023750393721	0.22032093432504	0.78384654398433	0.1147117556604	0.0010804367171964	1.9351598099494
22.2	7.1496226735575e-06	0.16851901825278	0.1193228540526	0.39186140146422	0.12919140730949	0.0063028417078031	0.22028585102774	0.78371882125411	0.11469317758186	0.0010944919669526	1.9349970142402
22.48	6.8960344368347e-06	0.16853869352758	0.11931098137096	0.39187931976078	0.12916473491082	0.0063034753937965	0.22023668557343	0.7835399555524	0.11466715256712	0.0011179418877595	1.9347658365791
22.872	6.7306418667502e-06	0.16856227973307	0.11929422934968	0.39190040437593	0.1291273475739	0.0063043451346889	0.22016783756379	0.7832895949443	0.11463071763024	0.0011505236476202	1.9344340105951
23	6.6945037242929e-06	0.16856955154151	0.1192887656561	0.3919069236629	0.1291151395458	0.0063046299322526	0.22014535972058	0.78320786138237	0.11461882259778	0.0011599343650716	1.9343236829081
23.2	6.3432699383165e-06	0.16857954271213	0.11928017516873	0.39191557204947	0.12909602535343	0.0063050678796951	0.22011021375548	0.78308006838174	0.11460022570048	0.0011757971098455	1.9341490313809
23.48	6.1220709817192e-06	0.16859005388433	0.11926797236541	0.39192384098105	0.12906919032278	0.0063056576519971	0.22006096643187	0.78290111025792	0.11457417610582	0.001201734416908	1.9339008244891
23.872	5.9789823049495e-06	0.16860056867631	0.11925070691757	0.39193107679883	0.12903157921231	0.0063064590675545	0.21999200796717	0.78265062244634	0.114537707845	0.0012376081312889	1.9335443160447
24	5.9474456430616e-06	0.16860352825943	0.11924506690759	0.39193301217703	0.12901929834357	0.0063067203965248	0.21996949432094	0.78256884746923	0.11452580199527	0.0012480171852739	1.9334257345005
24.2	6.1588144484984e-06	0.16860677736064	0.11923655487539	0.39193683195998	0.12900040393369	0.0063071682564882	0.21993463296068	0.78244122468985	0.11450721322831	0.0012618378477993	1.9332388039273
24.48	6.238847862242e-06	0.16860780520763	0.11922547540686	0.39194357785741	0.12897453329275	0.006307906057335	0.2198863544128	0.78226269540804	0.11448121107182	0.0012778565215585	1.9329736540841
24.872	6.2321507255143e-06	0.16860482419715	0.11921103640665	0.39195374220643	0.1289387750318	0.0063090813087118	0.21981910053554	0.78201284157947	0.11444482693128	0.0012965459327168	1.9325970062805
25	6.2226143916836e-06	0.16860330605675	0.1192064670032	0.3919571253166	0.12892714032747	0.0063094843843064	0.21979716688895	0.78193127433091	0.11443294949583	0.0013017789413955	1.9324729153598
25.2	7.9193192058045e-06	0.16859973365871	0.11919917824643	0.39196160795538	0.12890905440194	0.0063100946664882	0.219762867121	0.78180452286983	0.11441447613712	0.0013114518046878	1.9322809061808
25.48	8.7012601295162e-06	0.16859187819546	0.11918840383713	0.39196468714526	0.12888394427596	0.0063108735866731	0.21971485553403	0.78162764802771	0.11438873769695	0.0013301194480008	1.9320098490073
25.872	8.8880536921048e-06	0.16857745971998	0.11917257875593	0.39196451403919	0.12884898824464	0.0063118655836801	0.21964769508883	0.78138018381803	0.11435277412716	0.0013584326414653	1.9316233800726
26	8.8851835841456e-06	0.16857234979862	0.11916732914497	0.39196392714396	0.12883759528273	0.0063121785455029	0.21962577466972	0.78129939800657	0.11434103703295	0.0013669068671351	1.9314953816757
26.2	1.0120820884167e-05	0.16856341525304	0.11915897524139	0.39196244576391	0.1288199115376	0.0063126475178149	0.21959161802919	0.78117365788373	0.11432276363473	0.001380224756763	1.9312957804391
26.48	1.0654685794013e-05	0.16854859789473	0.1191469491854	0.39195848807819	0.12879540835765	0.0063132601822142	0.2195439910921	0.78099802369496	0.11429727532802	0.0014003954425979	1.9310130439417
26.872	1.0748397086091e-05	0.1685250543132	0.11912975915019	0.39195023456989	0.1287613285378	0.006314070745348	0.21947746571381	0.78075226243667	0.11426164574902	0.0014274929068327	1.9306100625199
27	1.0735752520675e-05	0.16851703244172	0.11912411526456	0.39194722284061	0.12875022327567	0.0063143312762809	0.21945575835262	0.78067203174425	0.11425001667295	0.0014353598738164	1.930476827495
27.2	1.1365295530014e-05	0.16850375152712	0.11911527395924	0.39194247027878	0.12873302907	0.0063147353048209	0.21942194984904	0.78054693662991	0.1142318828281	0.0014468439909315	1.9302682387335
27.48	1.1616916026236e-05	0.16848335641552	0.11910286709127	0.39193527094129	0.1287092686881	0.0063152970104548	0.21937481135071	0.78037202780298	0.11420654784466	0.0014623823806995	1.9299734464417
27.872	1.1638937547418e-05	0.16845261369581	0.11908549398422	0.39192404779364	0.12867625691402	0.006316082762061	0.21930895518543	0.78012725156089	0.11417111159785	0.0014820062881696	1.9295554587196
28	1.1625704252265e-05	0.168442310002	0.11907982931339	0.39192023817214	0.12866550146632	0.0063163403797291	0.21928746446519	0.78004734194675	0.11415954437587	0.0014876177270257	1.9294178135527
28.2	1.1890679833659e-05	0.16842565100454	0.1190709766243	0.39191418613999	0.1286488010094	0.0063167426622521	0.21925394475077	0.77992260765618	0.11414148835608	0.0014958974120748	1.9292021862954
28.48	1.1983423894012e-05	0.16840099393003	0.11905856643972	0.39190515808227	0.12862562005422	0.0063173036020009	0.21920712018438	0.77974809539193	0.11411623606855	0.0015072874492568	1.9288983646262
28.872	1.1971671785726e-05	0.1683648586226	0.11904117908858	0.39189153610725	0.12859332816842	0.0063180870065182	0.21914164402301	0.77950385754156	0.11408090289101	0.0015218149407389	1.9284691800615
29	1.1959852521335e-05	0.16835286309064	0.11903550510237	0.39188696393284	0.12858279968115	0.0063183432383244	0.21912027308514	0.77942412352155	0.11406936860255	0.0015259820983738	1.9283281822055
29.2	1.2003017673426e-05	0.16833371662793	0.1190266298489	0.39187959556499	0.12856639808396	0.0063187422920154	0.21908690455239	0.7792995757266	0.114051352235	0.0015322905283152	1.9281072084778
29.48	1.2001894912305e-05	0.16830595489944	0.11901416746357	0.39186860285686	0.12854352685882	0.0063192959667765	0.21904022903842	0.77912525833022	0.11402613922629	0.0015412033871097	1.9277963799224
29.872	1.1971641369703e-05	0.16826593480199	0.11899667681113	0.39185227628817	0.12851158435528	0.0063200651691026	0.21897492179847	0.77888128359078	0.11399085337458	0.0015526699891871	1.9273582378201
30	1.1961033178725e-05	0.1682527271147	0.11899096394293	0.39184683319221	0.12850116276086	0.0063203160761686	0.2189536032157	0.77880163538018	0.11397933411226	0.001555961682286	1.9272144985105
